inference_status,q,k,cell_label,schedule,schedule_label,final_rho_y_estimate,final_rho_y_ci_low,final_rho_y_ci_high,final_rho_y_n_seeds,final_rho_y_n_rows,final_intended_probability_estimate,final_intended_probability_ci_low,final_intended_probability_ci_high,final_intended_probability_n_seeds,final_intended_probability_n_rows,phase_b_rho_y_area_estimate,phase_b_rho_y_area_ci_low,phase_b_rho_y_area_ci_high,phase_b_rho_y_area_n_seeds,phase_b_rho_y_area_n_rows,phase_b_mean_rho_y_estimate,phase_b_mean_rho_y_ci_low,phase_b_mean_rho_y_ci_high,phase_b_mean_rho_y_n_seeds,phase_b_mean_rho_y_n_rows,crossing_observed_estimate,crossing_observed_ci_low,crossing_observed_ci_high,crossing_observed_n_seeds,crossing_observed_n_rows,restricted_crossing_phase_b_updates_estimate,restricted_crossing_phase_b_updates_ci_low,restricted_crossing_phase_b_updates_ci_high,restricted_crossing_phase_b_updates_n_seeds,restricted_crossing_phase_b_updates_n_rows,final_iid_accuracy_estimate,final_iid_accuracy_ci_low,final_iid_accuracy_ci_high,final_iid_accuracy_n_seeds,final_iid_accuracy_n_rows,final_iid_reward_estimate,final_iid_reward_ci_low,final_iid_reward_ci_high,final_iid_reward_n_seeds,final_iid_reward_n_rows,final_policy_entropy_estimate,final_policy_entropy_ci_low,final_policy_entropy_ci_high,final_policy_entropy_n_seeds,final_policy_entropy_n_rows,boundary_rho_y_estimate,boundary_rho_y_ci_low,boundary_rho_y_ci_high,boundary_rho_y_n_seeds,boundary_rho_y_n_rows,boundary_policy_entropy_estimate,boundary_policy_entropy_ci_low,boundary_policy_entropy_ci_high,boundary_policy_entropy_n_seeds,boundary_policy_entropy_n_rows,boundary_proxy_hard_flip_estimate,boundary_proxy_hard_flip_ci_low,boundary_proxy_hard_flip_ci_high,boundary_proxy_hard_flip_n_seeds,boundary_proxy_hard_flip_n_rows,boundary_proxy_probability_ate_estimate,boundary_proxy_probability_ate_ci_low,boundary_proxy_probability_ate_ci_high,boundary_proxy_probability_ate_n_seeds,boundary_proxy_probability_ate_n_rows,boundary_exact_hard_flip_estimate,boundary_exact_hard_flip_ci_low,boundary_exact_hard_flip_ci_high,boundary_exact_hard_flip_n_seeds,boundary_exact_hard_flip_n_rows,boundary_exact_probability_ate_estimate,boundary_exact_probability_ate_ci_low,boundary_exact_probability_ate_ci_high,boundary_exact_probability_ate_n_seeds,boundary_exact_probability_ate_n_rows,final_proxy_hard_flip_estimate,final_proxy_hard_flip_ci_low,final_proxy_hard_flip_ci_high,final_proxy_hard_flip_n_seeds,final_proxy_hard_flip_n_rows,final_proxy_probability_ate_estimate,final_proxy_probability_ate_ci_low,final_proxy_probability_ate_ci_high,final_proxy_probability_ate_n_seeds,final_proxy_probability_ate_n_rows,final_exact_hard_flip_estimate,final_exact_hard_flip_ci_low,final_exact_hard_flip_ci_high,final_exact_hard_flip_n_seeds,final_exact_hard_flip_n_rows,final_exact_probability_ate_estimate,final_exact_probability_ate_ci_low,final_exact_probability_ate_ci_high,final_exact_probability_ate_n_seeds,final_exact_probability_ate_n_rows,proxy_hard_flip_change_estimate,proxy_hard_flip_change_ci_low,proxy_hard_flip_change_ci_high,proxy_hard_flip_change_n_seeds,proxy_hard_flip_change_n_rows,exact_hard_flip_change_estimate,exact_hard_flip_change_ci_low,exact_hard_flip_change_ci_high,exact_hard_flip_change_n_seeds,exact_hard_flip_change_n_rows,proxy_probability_ate_change_estimate,proxy_probability_ate_change_ci_low,proxy_probability_ate_change_ci_high,proxy_probability_ate_change_n_seeds,proxy_probability_ate_change_n_rows,exact_probability_ate_change_estimate,exact_probability_ate_change_ci_low,exact_probability_ate_change_ci_high,exact_probability_ate_change_n_seeds,exact_probability_ate_change_n_rows,actor_l2_from_boundary_estimate,actor_l2_from_boundary_ci_low,actor_l2_from_boundary_ci_high,actor_l2_from_boundary_n_seeds,actor_l2_from_boundary_n_rows,actor_relative_l2_from_boundary_estimate,actor_relative_l2_from_boundary_ci_low,actor_relative_l2_from_boundary_ci_high,actor_relative_l2_from_boundary_n_seeds,actor_relative_l2_from_boundary_n_rows,critic_l2_from_boundary_estimate,critic_l2_from_boundary_ci_low,critic_l2_from_boundary_ci_high,critic_l2_from_boundary_n_seeds,critic_l2_from_boundary_n_rows,critic_relative_l2_from_boundary_estimate,critic_relative_l2_from_boundary_ci_low,critic_relative_l2_from_boundary_ci_high,critic_relative_l2_from_boundary_n_seeds,critic_relative_l2_from_boundary_n_rows,phase_b_critic_loss_log_grid_mean_estimate,phase_b_critic_loss_log_grid_mean_ci_low,phase_b_critic_loss_log_grid_mean_ci_high,phase_b_critic_loss_log_grid_mean_n_seeds,phase_b_critic_loss_log_grid_mean_n_rows,phase_b_critic_loss_final_logged_estimate,phase_b_critic_loss_final_logged_ci_low,phase_b_critic_loss_final_logged_ci_high,phase_b_critic_loss_final_logged_n_seeds,phase_b_critic_loss_final_logged_n_rows,final_quantization_abs_residual_estimate,final_quantization_abs_residual_ci_low,final_quantization_abs_residual_ci_high,final_quantization_abs_residual_n_seeds,final_quantization_abs_residual_n_rows,final_within_0_01_of_interaction_plateau_estimate,final_within_0_01_of_interaction_plateau_ci_low,final_within_0_01_of_interaction_plateau_ci_high,final_within_0_01_of_interaction_plateau_n_seeds,final_within_0_01_of_interaction_plateau_n_rows
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,zero_zero,never,0.0503,0.011904500000000045,0.10079050000000005,10,10,0.050292796143205754,0.011901523211445738,0.10074663144897787,10,10,61.18784000000001,8.072959999999998,123.21471999999999,10,10,0.030840645161290325,0.0073793548387096775,0.06508967741935484,10,10,0.0,0.0,0.0,10,10,1984.0,1984.0,1984.0,10,10,0.763275,0.752,0.77715,10,10,0.763275,0.752,0.7768,10,10,6.545711042835157e-05,1.4894594748335586e-05,0.00013990677930859086,10,10,0.0,0.0,0.0,10,10,0.006323289775051882,0.0053033762932885925,0.007445676897764888,10,10,1.0,1.0,1.0,10,10,0.9982222609779658,0.9977756222883634,0.9985934145639817,10,10,0.0,0.0,0.0,10,10,-5.5699490974254196e-05,-9.04339357963436e-05,-2.5375288857395763e-05,10,10,0.9497,0.89426,0.98796,10,10,0.9497064864006658,0.8988177278615699,0.9879624268896287,10,10,0.0503,0.012039999999999999,0.10627,10,10,-0.05029207012243171,-0.10616730585472363,-0.006615559150998355,10,10,-0.0503,-0.10627,-0.0066200000000000035,10,10,0.0503,0.006619999999999999,0.10121500000000005,10,10,-0.04851577457729998,-0.10426771724234733,-0.004906650109936384,10,10,-0.05023637063145745,-0.10668440068573357,-0.006589830999538365,10,10,5.1101929927122045,3.9492213564026306,6.396186861324301,10,10,0.568350967074833,0.4346491339626704,0.717552745921659,10,10,11.962250567550438,11.32589602745794,12.707783409107186,10,10,1.014290959911505,0.9599850318094999,1.0787815920782484,10,10,0.044657132788286244,0.03728156959616402,0.05448288381860929,10,10,3.2445961278426696e-05,2.0757224144745124e-05,4.604847072414486e-05,10,10,0.0009000000000000001,0.00014000000000000123,0.0017299999999999996,10,10,1.0,1.0,1.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,continuous,0.49222,0.30477924999999995,0.71768,10,10,0.4920056680184722,0.2857157216957991,0.7173846618947183,10,10,830.9858100000001,526.49555875,1202.82577175,10,10,0.41884365423387104,0.26231470451108874,0.6052880432207661,10,10,0.3,0.0,0.6,10,10,1516.8,1049.6,1984.0,10,10,0.87335,0.8294737499999999,0.929125,10,10,0.87335,0.82925,0.9296,10,10,0.001046608878556677,0.00034293584472257314,0.002112589718222722,10,10,0.0020399999999999997,0.0,0.0060799999999999995,10,10,0.0822495986028766,0.0652428651330725,0.101109314782033,10,10,0.99606,0.9882199999999999,1.0,10,10,0.958025707508589,0.9410674432184947,0.9715397883287585,10,10,0.0017475000000000001,0.0,0.0052025000000000005,10,10,-0.0008846585889096508,-0.001545341748381101,-0.000420650777616513,10,10,0.50778,0.28242,0.6959002500000001,10,10,0.5079621167601003,0.28285294307880704,0.696449102903226,10,10,0.49222,0.30457425,0.71741225,10,10,-0.4919712283142534,-0.6993167978397283,-0.30334142516331924,10,10,-0.48828000000000005,-0.7139715,-0.29224475,10,10,0.4904725,0.2982845,0.7156825,10,10,-0.45006359074848845,-0.665584569698643,-0.2581376766833192,10,10,-0.4910865697253438,-0.7160710695221033,-0.3209878960665233,10,10,9.653990231055356,8.710926223630533,10.755885862322137,10,10,1.1610739924367577,1.0398875715472313,1.2962494680742507,10,10,9.393337856027392,7.666377023848332,10.633282625169569,10,10,0.7969845560628718,0.6620711216665447,0.9035078074431404,10,10,0.03126716932467702,0.025945175924138926,0.036533636829680104,10,10,0.00040928073162831423,1.4254583542196997e-05,0.0011883861953913312,10,10,0.0018500000000000016,0.0009200000000000013,0.002860000000000004,10,10,1.0,1.0,1.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,early only,0.03099,0.0,0.08093,10,10,0.030988576229525232,3.7192618323280255e-07,0.08092763684073669,10,10,29.038605,0.08684637500000006,80.90401,10,10,0.014636393649193547,5.226310483870968e-05,0.0407608064516129,10,10,0.0,0.0,0.0,10,10,1984.0,1984.0,1984.0,10,10,0.7577,0.75,0.7697499999999999,10,10,0.7577,0.75,0.7697499999999999,10,10,1.7986425228342006e-05,4.223875650968649e-06,3.794881042025182e-05,10,10,0.0020399999999999997,0.0,0.00608,10,10,0.0822495986028766,0.06511397546959921,0.1017397775045339,10,10,0.99606,0.9882199999999999,1.0,10,10,0.958025707508589,0.942202673020122,0.9718261249883449,10,10,0.0017475000000000001,0.0,0.0052025000000000005,10,10,-0.0008846585889096508,-0.0015254606540412463,-0.0004173942489104578,10,10,0.9690099999999999,0.9190699999999999,1.0,10,10,0.9690093137566983,0.9190687288774566,0.9999993677654104,10,10,0.03099,0.0,0.08093,10,10,-0.030986454304638967,-0.08092432802632561,5.040040736577104e-07,10,10,-0.027050000000000008,-0.08301050000000001,0.00786,10,10,0.029242499999999998,-0.0034750000000000002,0.08093,10,10,0.010983606248109623,-0.03944977123128527,0.046393427996681946,10,10,-0.030101795715729313,-0.07954690963439202,0.0007135802722335519,10,10,5.322657899988327,4.356262142297505,6.57579183041471,10,10,0.6401747590081575,0.5240563136250084,0.7929813551337446,10,10,11.638804523777498,11.209396458608236,12.09697816574984,10,10,0.9870791742522158,0.9503279092641064,1.0260319576991626,10,10,0.04339518705781268,0.03730403407863723,0.051885890370793934,10,10,2.6603271362546365e-05,1.7093162964556543e-05,3.8635377507034725e-05,10,10,0.0002599999999999998,0.0,0.0007200000000000005,10,10,1.0,1.0,1.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,delayed,0.21832,0.17442899999999997,0.25090999999999997,10,10,0.2182073615085446,0.17342211375219974,0.25085089590171206,10,10,364.94728000000003,284.89976,423.25454600000006,10,10,0.18394520161290323,0.1449766008064516,0.21381930241935482,10,10,0.0,0.0,0.0,10,10,1984.0,1984.0,1984.0,10,10,0.8037750000000001,0.79229875,0.8121499999999999,10,10,0.8037750000000001,0.792724375,0.8121500000000001,10,10,0.0005033609685551742,4.085593561269204e-05,0.0013232188362383283,10,10,0.0,0.0,0.0,10,10,0.006323289775051882,0.005245859455122656,0.0075110140886228745,10,10,1.0,1.0,1.0,10,10,0.9982222609779658,0.9977966368547712,0.9986006656553311,10,10,0.0,0.0,0.0,10,10,-5.5699490974254196e-05,-8.975662831071449e-05,-2.487719904507111e-05,10,10,0.7816799999999999,0.7491,0.8254604999999999,10,10,0.7817866583418898,0.7494456384506567,0.8266805420017511,10,10,0.21832,0.17484850000000002,0.25088024999999997,10,10,-0.21820057821008554,-0.25068756360108113,-0.1729058468701802,10,10,-0.21832000000000001,-0.25076,-0.17398875000000003,10,10,0.21832,0.17476725,0.25069125,10,10,-0.21643560263607603,-0.24911341016712,-0.17196905157735037,10,10,-0.21814487871911128,-0.2505957268011137,-0.17347328365823836,10,10,7.827092957432074,7.332187263484624,8.2468252409223,10,10,0.8709625883382988,0.815113171533872,0.9181188446393981,10,10,10.799257663241885,10.350368834670787,11.295921819305832,10,10,0.9156664355341251,0.8744195075215262,0.960978274109482,10,10,0.035077073627433314,0.0282915770420493,0.043984481525621705,10,10,3.132394745080092e-05,2.101508488294712e-05,4.361969106298602e-05,10,10,0.003070000000000001,0.0019500000000000003,0.004200000000000004,10,10,1.0,1.0,1.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_actor_reset,delayed + actor-Adam reset,0.23233999999999994,0.20612450000000002,0.25145,10,10,0.23229891470642133,0.20599196168225528,0.25152195983517933,10,10,386.02219499999995,313.14402512500004,445.247717125,10,10,0.19456763860887094,0.15812588640372982,0.22431700730846774,10,10,0.0,0.0,0.0,10,10,1984.0,1984.0,1984.0,10,10,0.80785,0.8000243750000001,0.813275625,10,10,0.80785,0.799849375,0.813325625,10,10,0.00024134559853619393,4.958098719949069e-05,0.0005533193653488063,10,10,0.0,0.0,0.0,10,10,0.006323289775051882,0.005263586035276933,0.007490255595090546,10,10,1.0,1.0,1.0,10,10,0.9982222609779658,0.9978025025896214,0.9986047359551201,10,10,0.0,0.0,0.0,10,10,-5.5699490974254196e-05,-9.037323008993933e-05,-2.5404751960006174e-05,10,10,0.76766,0.74858,0.7941305,10,10,0.7676911564001344,0.7485368740321944,0.7984350513275716,10,10,0.23233999999999994,0.20603,0.25154999999999994,10,10,-0.2322891198018958,-0.25140986752524525,-0.20156917796580068,10,10,-0.23234,-0.25150025,-0.20217874999999996,10,10,0.23233999999999994,0.20662975,0.25152025,10,10,-0.2305311045778314,-0.24966768807215622,-0.20444069579951415,10,10,-0.23223342031092153,-0.2514159576399481,-0.20139224021504204,10,10,8.34745877769502,7.861474162410896,8.82333465559649,10,10,0.9291871235968046,0.8736569542458301,0.9854365758379767,10,10,10.781069001905077,10.271507754712085,11.381391131707405,10,10,0.9141737040385512,0.869418302597846,0.9652518509489778,10,10,0.032559587951412935,0.028063267477345655,0.03634925859195238,10,10,1.492766878072871e-05,1.0544511615080409e-05,2.191067181456674e-05,10,10,0.0023299999999999987,0.0015499999999999986,0.0030999999999999973,10,10,1.0,1.0,1.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_critic_reset,delayed + critic reset,0.25017,0.2131895,0.2873899999999999,10,10,0.25014795087233826,0.21283708152951478,0.2872397312329502,10,10,426.7357999999999,371.293996,479.643696,10,10,0.21508860887096773,0.18589739566532257,0.24190758870967743,10,10,0.0,0.0,0.0,10,10,1984.0,1984.0,1984.0,10,10,0.812025,0.8035493749999999,0.8204,10,10,0.812025,0.8034243750000001,0.8203000000000001,10,10,0.00014105026179567212,2.7035787603867312e-05,0.00032874521599070327,10,10,0.0,0.0,0.0,10,10,0.006323289775051882,0.005272688862483088,0.007503189159316567,10,10,1.0,1.0,1.0,10,10,0.9982222609779658,0.9977993134112088,0.9985801847185238,10,10,0.0,0.0,0.0,10,10,-5.5699490974254196e-05,-9.12644372590703e-05,-2.4908387752916438e-05,10,10,0.74983,0.7129095000000001,0.78718075,10,10,0.749840695807418,0.7126338481449851,0.7863370373038462,10,10,0.25017,0.21360875,0.28728024999999996,10,10,-0.25013597140589183,-0.28734199809309185,-0.21311569924542106,10,10,-0.25017000000000006,-0.28617450000000005,-0.21374949999999993,10,10,0.25017,0.21329974999999998,0.28738125000000003,10,10,-0.24838156517054796,-0.28556838403996593,-0.21087710855347405,10,10,-0.2500802719149176,-0.2872194604563313,-0.21269128434957904,10,10,8.374698049335354,7.991409231724928,8.758263370391502,10,10,0.9319474889448125,0.8882676660375318,0.9766863914062066,10,10,9.903773471226673,9.576718374540354,10.27805623177362,10,10,0.8395369866135315,0.8119581023899857,0.8717810089439436,10,10,0.03630490401336234,0.03165148885049686,0.04196427574512321,10,10,3.8620043233095204e-05,1.7354489975787147e-05,6.473122460647574e-05,10,10,0.003090000000000001,0.0017800000000000038,0.004499999999999999,10,10,1.0,1.0,1.0,10,10
exploratory_post_hoc_boundary_specific,0.9,3,preselected comparison,zero_zero,never,0.0,0.0,0.0,10,10,2.1465275903980314e-06,2.5006715533172226e-07,5.1767205656367476e-06,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,1984.0,1984.0,1984.0,10,10,0.9,0.9,0.9,10,10,0.9,0.9,0.9,10,10,1.7800416288636296e-05,2.9943379112664662e-06,4.0133426198326465e-05,10,10,0.0,0.0,0.0,10,10,0.0035094073000056817,0.0028164664832058396,0.004262578574668583,10,10,1.0,1.0,1.0,10,10,0.9991178427771541,0.9988886218769835,0.9993337423359562,10,10,0.0,0.0,0.0,10,10,-3.162810386220343e-05,-5.745303328718311e-05,-9.476335257550258e-06,10,10,1.0,1.0,1.0,10,10,0.9999859122409844,0.9999632240113917,0.9999996265559673,10,10,0.0,0.0,0.0,10,10,8.506442011591035e-06,-2.6431721244344713e-07,2.0290990350553505e-05,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0008680694638304009,0.0006320958684236058,0.0011193086737312774,10,10,4.013454587379447e-05,1.5931220140484716e-05,6.573571746416083e-05,10,10,3.3456133491761393,3.059832515441994,3.611003389856787,10,10,0.3624790071910139,0.33017796422776635,0.39337232780657283,10,10,8.516453339770743,8.079097932859993,8.979858395279388,10,10,0.7176811606606153,0.680798430386893,0.7575608471374327,10,10,0.013907165459110018,0.011707829645759222,0.015813220113663016,10,10,1.683117829998082e-05,1.0952939524031535e-05,2.3534189150495877e-05,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10
exploratory_post_hoc_boundary_specific,0.9,3,preselected comparison,high_high,continuous,0.05077,0.0,0.12644,10,10,0.05077042647111092,4.903501741072695e-07,0.12547034554263667,10,10,71.344,0.0,174.14592,10,10,0.03595967741935484,0.0,0.08352709677419354,10,10,0.0,0.0,0.0,10,10,1984.0,1984.0,1984.0,10,10,0.9052750000000002,0.9,0.9131,10,10,0.9052750000000002,0.9,0.9131,10,10,6.6472075923598646e-06,3.1164273837634514e-06,1.0456320511472576e-05,10,10,0.0,0.0,0.0,10,10,0.008891958773807987,0.007132309324094251,0.010818183191506917,10,10,1.0,1.0,1.0,10,10,0.997444542800166,0.9968639741489296,0.9980073297751071,10,10,0.0,0.0,0.0,10,10,-0.00010823218997903282,-0.0002316476050127314,-2.071970590868615e-05,10,10,0.94923,0.8745057499999999,1.0,10,10,0.9492257799545591,0.8735504592827992,0.999999252122224,10,10,0.05077,0.0,0.12547000000000003,10,10,-0.0507668402361498,-0.12643128546088492,-2.4773488576637714e-07,10,10,-0.05077,-0.12644000000000002,0.0,10,10,0.05077,0.0,0.12644,10,10,-0.04821876284560678,-0.1237104151219355,0.002594004925022665,10,10,-0.05065860804617075,-0.1262726260005557,7.742514277770968e-05,10,10,4.056656153365848,3.470347921820452,4.790143370004096,10,10,0.4523311588872792,0.3848611720129589,0.5320927028150084,10,10,8.51571559723691,8.043454021027667,9.00670022506404,10,10,0.7177232579144895,0.6782127077699481,0.7590156835587055,10,10,0.013969388610941075,0.011782957979594577,0.015909584434071894,10,10,4.66919889277051e-05,9.848560858927158e-06,0.00010882053672730764,10,10,0.0009699999999999986,0.0,0.002709999999999996,10,10,1.0,1.0,1.0,10,10
exploratory_post_hoc_boundary_specific,0.9,3,preselected comparison,early_only,early only,0.050170000000000006,0.0,0.1254,10,10,0.05016687602256668,6.942186324793623e-07,0.12539272025762993,10,10,52.158719999999995,0.0,132.24960000000002,10,10,0.026289677419354833,0.0,0.07267838709677418,10,10,0.0,0.0,0.0,10,10,1984.0,1984.0,1984.0,10,10,0.9047750000000001,0.9,0.9117500000000002,10,10,0.9047750000000001,0.9,0.9117500000000002,10,10,3.42852819014704e-05,4.617533860223316e-06,8.515190988089125e-05,10,10,0.0,0.0,0.0,10,10,0.008891958773807987,0.007196876099825711,0.010858103699557631,10,10,1.0,1.0,1.0,10,10,0.997444542800166,0.9968620038052414,0.9980009131943292,10,10,0.0,0.0,0.0,10,10,-0.00010823218997903282,-0.00023078510469889106,-2.0991565157502238e-05,10,10,0.9498300000000001,0.8746,1.0,10,10,0.9498290465216174,0.8745996813572563,0.9999988873620579,10,10,0.050170000000000006,0.0,0.1254,10,10,-0.05016294013285518,-0.12534202864468758,-1.9838636618568174e-07,10,10,-0.050170000000000006,-0.1254,0.0,10,10,0.050170000000000006,0.0,0.1254,10,10,-0.04761549627854852,-0.12217876990142958,0.002383808253431577,10,10,-0.05005470794287614,-0.12510895473105768,6.832919013785234e-05,10,10,3.8414663446892154,3.221785504999147,4.635125726450533,10,10,0.42893835535321967,0.3583031717343071,0.5189243481900805,10,10,8.639454717871377,8.172905487823492,9.100585039336396,10,10,0.7282059426628036,0.6884009441436891,0.7684203777807374,10,10,0.014352698123884271,0.011756757191981892,0.016784955833966764,10,10,7.637097960468963e-05,9.623299281429353e-06,0.00020586859698710214,10,10,0.00016999999999999793,0.0,0.0003999999999999948,10,10,1.0,1.0,1.0,10,10
exploratory_post_hoc_boundary_specific,0.9,3,preselected comparison,delayed_carry,delayed,0.17370000000000002,0.09898925,0.24564425,10,10,0.17354963835528817,0.0988634914496816,0.24578417576169578,10,10,213.72127999999998,104.31403999999998,320.881608,10,10,0.1077224193548387,0.052961387096774205,0.1635030241935484,10,10,0.0,0.0,0.0,10,10,1984.0,1984.0,1984.0,10,10,0.9189250000000001,0.910725,0.9251768750000001,10,10,0.9189250000000001,0.910725,0.926575625,10,10,0.0008450207689038251,1.761251928951137e-05,0.002373476186281182,10,10,0.0,0.0,0.0,10,10,0.0035094073000056817,0.0028068833947225624,0.0042597893421718455,10,10,1.0,1.0,1.0,10,10,0.9991178427771541,0.9988763401720416,0.999336320428994,10,10,0.0,0.0,0.0,10,10,-3.162810386220343e-05,-5.72406291263299e-05,-9.196865069670138e-06,10,10,0.8263,0.75331975,0.90109,10,10,0.8263431421921036,0.7727847577062248,0.901160388746117,10,10,0.17370000000000002,0.0989,0.24671050000000005,10,10,-0.17345918162103816,-0.2459679629106134,-0.09875981037783033,10,10,-0.17370000000000002,-0.24654250000000003,-0.09909950000000001,10,10,0.17370000000000002,0.09884975000000001,0.246931,10,10,-0.17277470058505057,-0.22703689439622549,-0.09813617019287223,10,10,-0.17342755351717595,-0.2453601362237267,-0.09883988166476484,10,10,5.069391182005089,4.31807668502509,5.69698793393698,10,10,0.5491117291037323,0.467920625858281,0.6210015950005358,10,10,8.50690507489025,7.881636891962262,9.119709041799986,10,10,0.7168158474330623,0.6660998813443261,0.7711294311678852,10,10,0.013951601537074514,0.011671659547027426,0.01589633634072213,10,10,2.53384364896192e-05,7.893860064314139e-06,5.698384109450671e-05,10,10,0.0032599999999999964,0.001349749999999996,0.005469999999999994,10,10,1.0,1.0,1.0,10,10
