inference_status,cohort,goal,stage,n_runs,events,run_event_fraction,median_observed_step,event_fraction_estimate,event_fraction_ci_low,event_fraction_ci_high,event_fraction_n_seeds,restricted_step_estimate,restricted_step_ci_low,restricted_step_ci_high,restricted_step_n_seeds
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,Y,probe_selective,120,99,0.825,418,0.825,0.8083333333333332,0.8333333333333334,10,1925.3333333333333,1788.3366666666666,2100.2641666666664,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,Y,causal,120,77,0.6416666666666667,418,0.6416666666666666,0.5833333333333334,0.7,10,3677.7249999999995,3347.4239583333333,4021.3393749999996,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,Y,behavior,120,77,0.6416666666666667,418,0.6416666666666666,0.5833333333333333,0.7,10,3663.408333333333,3321.352708333334,3998.2343750000005,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,Y,pure,120,77,0.6416666666666667,418,0.6416666666666666,0.5833333333333333,0.7,10,3682.3666666666663,3347.9227083333335,4025.561666666666,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,P,solo,240,240,1.0,3.0,1.0,1.0,1.0,20,3.25,2.6,3.95,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,P,probe_generic,240,240,1.0,0.0,1.0,1.0,1.0,20,0.27083333333333337,0.0,0.7333333333333334,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,P,probe_selective,240,240,1.0,0.0,1.0,1.0,1.0,20,0.0,0.0,0.0,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,P,causal,240,240,1.0,7.0,1.0,1.0,1.0,20,7.9541666666666675,6.770833333333334,9.1709375,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,P,behavior,240,240,1.0,7.0,1.0,1.0,1.0,20,8.045833333333333,6.8375,9.28354166666667,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,P,pure,240,240,1.0,7.0,1.0,1.0,1.0,20,8.062499999999998,6.904062499999999,9.275208333333335,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,Q,solo,240,240,1.0,5.0,1.0,1.0,1.0,20,5.941666666666666,4.683333333333334,7.266666666666666,20
