scope,q,k,factor,high,low,outcome,estimate,ci_low,ci_high,n_seeds,n_matched_cells
within_q_k,0.75,4,beta,0.3,0.0,iid_accuracy,0.11007499999999999,0.061744374999999976,0.16327625,10,10
within_q_k,0.75,4,beta,0.3,0.0,intended_probability_auc,0.3782606433880328,0.23445091026436476,0.5458947068740667,10,10
within_q_k,0.9,2,beta,0.1,0.0,rho_y,0.13308,-0.016869999999999996,0.30815725000000005,10,10
within_q_k,0.9,2,beta,0.1,0.0,intended_probability,0.13315219348249713,-0.01679782660650164,0.3244375718621991,10,10
within_q_k,0.9,2,beta,0.1,0.0,iid_accuracy,0.013174999999999992,-0.002075000000000005,0.03295,10,10
within_q_k,0.9,2,beta,0.1,0.0,intended_probability_auc,0.06420087354870706,0.0066076653515213385,0.13576309784813376,10,10
within_q_k,0.9,2,beta,0.3,0.0,rho_y,0.18221,-0.02654999999999998,0.39977375000000004,10,10
within_q_k,0.9,2,beta,0.3,0.0,intended_probability,0.18228834812014502,-0.03408117490485479,0.3990015810786661,10,10
within_q_k,0.9,2,beta,0.3,0.0,iid_accuracy,0.01804999999999999,-0.0032500000000000194,0.04015062499999998,10,10
within_q_k,0.9,2,beta,0.3,0.0,intended_probability_auc,0.16580828957970706,0.02421283323058656,0.3238006499803768,10,10
within_q_k,0.9,3,beta,0.1,0.0,rho_y,0.12464,0.04958,0.19963175000000002,10,10
within_q_k,0.9,3,beta,0.1,0.0,intended_probability,0.12462908748290817,0.049576737377732105,0.19993164401604,10,10
within_q_k,0.9,3,beta,0.1,0.0,iid_accuracy,0.012324999999999985,0.004674999999999996,0.019999999999999973,10,10
within_q_k,0.9,3,beta,0.1,0.0,intended_probability_auc,0.09380283120172228,0.03565328702651798,0.15323338932592193,10,10
within_q_k,0.9,3,beta,0.3,0.0,rho_y,0.05077,0.0,0.12644000000000002,10,10
within_q_k,0.9,3,beta,0.3,0.0,intended_probability,0.050768279943520525,-2.5011727454287905e-06,0.12643611588904136,10,10
within_q_k,0.9,3,beta,0.3,0.0,iid_accuracy,0.005274999999999997,0.0,0.01309999999999999,10,10
within_q_k,0.9,3,beta,0.3,0.0,intended_probability_auc,0.03657810054381625,0.00015353324952518995,0.08916486669095837,10,10
within_q_k,0.9,4,beta,0.1,0.0,rho_y,0.0,0.0,0.0,10,10
within_q_k,0.9,4,beta,0.1,0.0,intended_probability,9.073845591223867e-06,-1.0968804754950055e-06,2.8154258337651193e-05,10,10
within_q_k,0.9,4,beta,0.1,0.0,iid_accuracy,0.0,0.0,0.0,10,10
within_q_k,0.9,4,beta,0.1,0.0,intended_probability_auc,-0.000147725777748715,-0.0005486395726462774,6.452803710127696e-05,10,10
within_q_k,0.9,4,beta,0.3,0.0,rho_y,0.0,0.0,0.0,10,10
within_q_k,0.9,4,beta,0.3,0.0,intended_probability,1.463859766373656e-06,-1.5925183401664513e-06,6.761315564397782e-06,10,10
within_q_k,0.9,4,beta,0.3,0.0,iid_accuracy,0.0,0.0,0.0,10,10
within_q_k,0.9,4,beta,0.3,0.0,intended_probability_auc,0.0002275037231798548,-0.0003816784419829015,0.0009005061175905169,10,10
within_q_k,0.99,2,beta,0.1,0.0,rho_y,0.0013199999999999907,-0.06716000000000003,0.06981999999999998,10,10
within_q_k,0.99,2,beta,0.1,0.0,intended_probability,0.0011047836187857625,-0.06630026276965754,0.06812872189685858,10,10
within_q_k,0.99,2,beta,0.1,0.0,iid_accuracy,0.00012500000000000843,-0.0004749999999999921,0.0007500000000000174,10,10
within_q_k,0.99,2,beta,0.1,0.0,intended_probability_auc,0.05331327220898739,0.0001467295513529107,0.11259390762082148,10,10
within_q_k,0.99,2,beta,0.3,0.0,rho_y,-0.12753,-0.301253,0.018551750000000002,10,10
within_q_k,0.99,2,beta,0.3,0.0,intended_probability,-0.1276179145522982,-0.3003171613060037,0.01750753782988574,10,10
within_q_k,0.99,2,beta,0.3,0.0,iid_accuracy,-0.0012499999999999844,-0.002949999999999975,0.00020000000000002237,10,10
within_q_k,0.99,2,beta,0.3,0.0,intended_probability_auc,-0.04305127919585329,-0.11540897663636587,0.02733155227076505,10,10
