inference_status,q_only_error_count,design_panel,outcome,identified_seeds,estimate,ci_low,ci_high,seed_clusters,bootstrap_draws,count
adaptive_exploratory_posthoc_paired_support_intervention,4,triggered_refinement,q_only_diagnostic_accuracy,20,0.4577699999999999,0.3641848749999999,0.5480402500000001,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,4,triggered_refinement,q_only_factorial_accuracy,20,0.455322265625,0.366209716796875,0.54444091796875,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,4,triggered_refinement,q_only_target_probability,20,0.45452958443524755,0.3629242686815624,0.54137332671163,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,4,triggered_refinement,q_only_seen_accuracy,20,0.74921875,0.646875,0.8421875,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,4,triggered_refinement,q_only_seen_target_probability,20,0.7341926887133692,0.6351903561758132,0.8208463197962343,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,4,triggered_refinement,q_only_unseen_accuracy,20,0.4360373975409836,0.34520822660519124,0.5243770278346994,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,4,triggered_refinement,q_only_unseen_target_probability,20,0.4361619136100156,0.34621467593499783,0.5259283879270296,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,4,triggered_refinement,seen_minus_unseen_probability,20,0.2980307751033535,0.23498602193072332,0.3639541365492308,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,4,triggered_refinement,common_iid_target_accuracy,20,0.999875,0.9997499999999999,0.9999750000000001,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,4,triggered_refinement,active_codeword_coverage,20,0.06171875,0.06015625,0.0625,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,4,triggered_refinement,behavior_P,20,0.36431884765625,0.3416748046875,0.38635284423828126,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,4,triggered_refinement,behavior_Q,20,0.63665771484375,0.61405029296875,0.6603524780273438,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,4,triggered_refinement,behavior_Y,20,0.86334228515625,0.8405618286132812,0.8858782958984376,20,4000,
