inference_status,contrast_status,q,k,cell_label,effect,formula,outcome,estimate,ci_low,ci_high,n_seeds,n_pairs
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,proxy_probability_ate_change,0.059499380825409606,0.037884841787904085,0.0848638158186671,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,exact_probability_ate_change,0.02013457491572814,0.0006328525494841626,0.04616291720729067,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,actor_l2_from_boundary,0.2124649072761232,-0.6362849176726035,0.9975966278287834,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,actor_relative_l2_from_boundary,0.07182379193332425,-0.03258586824301407,0.1661711027525795,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,critic_l2_from_boundary,-0.3234460437729382,-0.6941403303891229,-0.012307052298559995,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,critic_relative_l2_from_boundary,-0.027211785659289167,-0.05869962569690521,-0.0013314016693447084,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,phase_b_critic_loss_log_grid_mean,-0.0012619457304735647,-0.004626937539944357,0.001134888832873961,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,phase_b_critic_loss_final_logged,-5.842689915880328e-06,-1.1013490941422789e-05,-1.3663320441992244e-06,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,final_quantization_abs_residual,-0.0006400000000000003,-0.001479999999999998,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,final_within_0_01_of_interaction_plateau,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,final_rho_y,0.2739,0.08758400000000001,0.48000075,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,final_intended_probability,0.2737983065099276,0.09197644195527066,0.4797921126234038,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,phase_b_rho_y_area,466.03853,177.56240974999997,806.91027975,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,phase_b_mean_rho_y,0.23489845262096773,0.08586688079637095,0.40427816784274195,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,crossing_observed,0.3,0.0,0.6,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,restricted_crossing_phase_b_updates,-467.2,-934.4,-147.2,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,final_iid_accuracy,0.069575,0.022799374999999986,0.12142875000000002,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,final_iid_reward,0.069575,0.022998749999999978,0.121725,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,final_policy_entropy,0.0005432479100015027,-0.0006327077882776667,0.0018765801756565083,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,boundary_rho_y,0.0020399999999999997,0.0,0.0060999999999999995,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,boundary_policy_entropy,0.07592630882782472,0.05979855312521169,0.09450738180560844,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,boundary_proxy_hard_flip,-0.003939999999999999,-0.0118,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,boundary_proxy_probability_ate,-0.04019655346937706,-0.05518404252937339,-0.027297213349619355,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,boundary_exact_hard_flip,0.0017475000000000001,0.0,0.0052025000000000005,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,boundary_exact_probability_ate,-0.0008289590979353969,-0.0014662889010588233,-0.0003739563307425052,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,final_proxy_hard_flip,-0.2739,-0.48575,-0.09262249999999997,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,final_proxy_probability_ate,-0.2738245415817894,-0.480288517270138,-0.09295612712243716,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,final_exact_hard_flip,0.2739,0.09182225,0.48198599999999997,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,final_exact_probability_ate,-0.27377065010416796,-0.4790305257396899,-0.09921220864904252,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,proxy_hard_flip_change,-0.26996000000000003,-0.4781585,-0.08736724999999995,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,exact_hard_flip_change,0.27215249999999996,0.0915204375,0.4819205625000001,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,proxy_probability_ate_change,-0.23362798811241242,-0.43694629185572936,-0.0508086633068623,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,exact_probability_ate_change,-0.2729416910062325,-0.4793124424842315,-0.09786238551462594,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,actor_l2_from_boundary,1.8268972736232822,0.9010383583322809,2.7513408806862016,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,actor_relative_l2_from_boundary,0.290111404098459,0.1789894778838547,0.40086085840846364,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,critic_l2_from_boundary,-1.4059198072144923,-2.778698629500164,-0.27046487517842044,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,critic_relative_l2_from_boundary,-0.11868187947125333,-0.2314404478653128,-0.02128037978067268,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,phase_b_critic_loss_log_grid_mean,-0.003809904302756288,-0.009530644893333816,0.0013153131415274463,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,phase_b_critic_loss_final_logged,0.00037795678417751333,-2.2416930175950255e-05,0.001160609277030744,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,final_quantization_abs_residual,-0.0012199999999999995,-0.0029299999999999964,0.0005502500000000042,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_high,1*high_high + -1*delayed_carry,final_within_0_01_of_interaction_plateau,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,final_rho_y,0.16802,0.11208,0.223691,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,final_intended_probability,0.16791456536533889,0.10801928529265171,0.22160931013733629,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,phase_b_rho_y_area,303.75944,220.73275400000003,375.7675100000001,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,phase_b_mean_rho_y,0.15310455645161292,0.1142825987903226,0.1908770655241936,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,crossing_observed,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,restricted_crossing_phase_b_updates,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,final_iid_accuracy,0.040499999999999994,0.02492500000000003,0.055174999999999974,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,final_iid_reward,0.040499999999999994,0.024499375,0.054874999999999986,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,final_policy_entropy,0.00043790385812682265,-1.531910024560125e-06,0.0012411871139815036,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,boundary_rho_y,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,boundary_policy_entropy,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,boundary_proxy_hard_flip,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,boundary_proxy_probability_ate,0.0,0.0,0.0,10,10
