seed,branch,eligible_intersection,auc128_Q_stored,auc128_Q_recomputed,auc128_Q_recomputation_error,postedit_pure_P,final_target_accuracy,final_boolean_signature,auc128_P,postedit_behavior_P,postedit_causal_P,postedit_selective_P,postedit_control_P,final_behavior_P,final_causal_P,final_selective_P,final_control_P,auc128_Q,postedit_behavior_Q,postedit_causal_Q,postedit_selective_Q,postedit_control_Q,final_behavior_Q,final_causal_Q,final_selective_Q,final_control_Q,auc128_Y,postedit_behavior_Y,postedit_causal_Y,postedit_selective_Y,postedit_control_Y,final_behavior_Y,final_causal_Y,final_selective_Y,final_control_Y
421,independent_noop,True,0.9342437982559204,0.9342437982559204,0.0,True,1.0,01010101,0.5537471771240234,0.99609375,0.99609375,0.41357421875,0.99609375,0.5,0.5,0.327392578125,0.5,0.9342437982559204,0.50390625,0.50433349609375,0.3662109375,0.504119873046875,0.5,0.5,0.327392578125,0.5,0.5141146977742512,0.5009765625,0.5005289713541666,-0.034912109375,0.5007527669270833,1.0,1.0,0.32958984375,1.0
421,independent_q_restore,True,0.8932594060897827,0.8932594060897827,0.0,True,1.0,01010101,0.5770037174224854,0.999755859375,0.9998779296875,0.418701171875,0.99981689453125,0.5,0.5,0.32275390625,0.5,0.8932594060897827,0.500244140625,0.50030517578125,0.25732421875,0.500274658203125,0.5,0.5,0.316162109375,0.5,0.5278225739796956,0.499755859375,0.4998779296875,-0.039306640625,0.49981689453125,1.0,1.0,0.326416015625,1.0
421,independent_padding_sham,True,0.9294414520263672,0.9294414520263672,0.0,True,1.0,01010101,0.5571842193603516,0.994384765625,0.993896484375,0.42236328125,0.994140625,0.5,0.5,0.332275390625,0.5,0.9294414520263672,0.505615234375,0.507080078125,0.327880859375,0.50634765625,0.5,0.5,0.33740234375,0.5,0.5151087443033855,0.500732421875,0.5,-0.041748046875,0.5003662109375,1.0,1.0,0.33984375,1.0
421,nested_noop,True,0.8810629844665527,0.8810629844665527,0.0,True,1.0,01010101,0.5935943126678467,0.999755859375,0.9998779296875,0.413818359375,0.99981689453125,0.5,0.5,0.3134765625,0.5,0.8810629844665527,0.500244140625,0.50030517578125,0.157958984375,0.500274658203125,0.5,0.5,0.318115234375,0.5,0.5273500283559163,0.499755859375,0.4998779296875,-0.048095703125,0.49981689453125,1.0,1.0,0.31982421875,1.0
421,nested_q_transplant,True,0.9106584787368774,0.9106584787368774,0.0,True,1.0,01010101,0.5772125720977783,0.99951171875,0.99951171875,0.406494140625,0.99951171875,0.5,0.5,0.3359375,0.5,0.9106584787368774,0.50048828125,0.50048828125,0.241455078125,0.50048828125,0.5,0.5,0.337158203125,0.5,0.5165201822916667,0.49951171875,0.4997965494791667,-0.06201171875,0.49965413411458337,1.0,1.0,0.3388671875,1.0
421,nested_padding_sham,True,0.8801174163818359,0.8801174163818359,0.0,True,1.0,01010101,0.5945258140563965,0.999755859375,0.9996337890625,0.40966796875,0.99969482421875,0.5,0.5,0.302734375,0.5,0.8801174163818359,0.500244140625,0.5003662109375,0.141357421875,0.50030517578125,0.5,0.5,0.306396484375,0.5,0.5256485939025879,0.499755859375,0.4998779296875,-0.052001953125,0.49981689453125,1.0,1.0,0.30810546875,1.0
431,independent_noop,True,0.9502626657485962,0.9502626657485962,0.0,True,1.0,01010101,0.5442600250244141,0.996826171875,0.996826171875,0.392333984375,0.996826171875,0.5,0.5,0.35791015625,0.5,0.9502626657485962,0.503173828125,0.50262451171875,0.343994140625,0.502899169921875,0.5,0.5,0.360595703125,0.5,0.5043931007385254,0.500732421875,0.5,-0.063720703125,0.5003662109375,1.0,1.0,0.360595703125,1.0
431,independent_q_restore,True,0.9044417142868042,0.9044417142868042,0.0,True,1.0,01010101,0.5667827129364014,1.0,0.9998779296875,0.438232421875,0.99993896484375,0.5,0.5,0.37158203125,0.5,0.9044417142868042,0.5,0.5,0.25048828125,0.5,0.5,0.5,0.36962890625,0.5,0.5221490859985352,0.5,0.5,-0.011962890625,0.5,1.0,1.0,0.371826171875,1.0
431,independent_padding_sham,True,0.9462182521820068,0.9462182521820068,0.0,True,1.0,01010101,0.546959638595581,0.991455078125,0.9903564453125,0.407470703125,0.99090576171875,0.5,0.5,0.364013671875,0.5,0.9462182521820068,0.508544921875,0.50860595703125,0.31884765625,0.508575439453125,0.5,0.5,0.36669921875,0.5,0.5054784615834554,0.499267578125,0.5006103515625,-0.048583984375,0.49993896484375,1.0,1.0,0.367431640625,1.0
431,nested_noop,True,0.8815782070159912,0.8815782070159912,0.0,True,1.0,01010101,0.5960240364074707,1.0,1.0,0.40771484375,1.0,0.5,0.5,0.322021484375,0.5,0.8815782070159912,0.5,0.5,0.1630859375,0.5,0.5,0.5,0.322265625,0.5,0.5257403055826823,0.5,0.5,-0.058349609375,0.5,1.0,1.0,0.322265625,1.0
431,nested_q_transplant,True,0.9176870584487915,0.9176870584487915,0.0,True,1.0,01010101,0.5726730823516846,0.999755859375,0.9998779296875,0.392333984375,0.99981689453125,0.5,0.5,0.32421875,0.5,0.9176870584487915,0.500244140625,0.50018310546875,0.235595703125,0.500213623046875,0.5,0.5,0.3251953125,0.5,0.5107487837473551,0.500244140625,0.5001627604166666,-0.079345703125,0.5002034505208333,1.0,1.0,0.3251953125,1.0
431,nested_padding_sham,True,0.8794683218002319,0.8794683218002319,0.0,True,1.0,01010101,0.5982446670532227,1.0,1.0,0.413330078125,1.0,0.5,0.5,0.366455078125,0.5,0.8794683218002319,0.5,0.50006103515625,0.158447265625,0.500030517578125,0.5,0.5,0.366943359375,0.5,0.5257339477539062,0.5,0.5000406901041666,-0.049560546875,0.5000203450520833,1.0,1.0,0.366943359375,1.0
433,independent_noop,True,0.9430385828018188,0.9430385828018188,0.0,True,1.0,01010101,0.5507481098175049,0.99462890625,0.994873046875,0.387939453125,0.9947509765625,0.5,0.5,0.31005859375,0.5,0.9430385828018188,0.50537109375,0.50579833984375,0.365966796875,0.505584716796875,0.5,0.5,0.3203125,0.5,0.5071118672688801,0.50146484375,0.5008544921875,-0.103759765625,0.50115966796875,1.0,1.0,0.322021484375,1.0
433,independent_q_restore,True,0.9067181348800659,0.9067181348800659,0.0,True,1.0,01010101,0.5765023231506348,0.99951171875,0.9991455078125,0.404052734375,0.99932861328125,0.5,0.5,0.2939453125,0.5,0.9067181348800659,0.50048828125,0.50054931640625,0.275634765625,0.500518798828125,0.5,0.5,0.2998046875,0.5,0.5118992328643799,0.5,0.5000813802083334,-0.072509765625,0.5000406901041667,1.0,1.0,0.305419921875,1.0
433,independent_padding_sham,True,0.9397969245910645,0.9397969245910645,0.0,True,1.0,01010101,0.5535824298858643,0.980712890625,0.9810791015625,0.392578125,0.98089599609375,0.5,0.5,0.333984375,0.5,0.9397969245910645,0.519287109375,0.51947021484375,0.34619140625,0.519378662109375,0.5,0.5,0.3408203125,0.5,0.5064394474029541,0.501220703125,0.5013427734375,-0.084228515625,0.50128173828125,1.0,1.0,0.341552734375,1.0
433,nested_noop,True,0.8941802978515625,0.8941802978515625,0.0,True,1.0,01010101,0.5999972820281982,1.0,1.0,0.38818359375,1.0,0.5,0.5,0.258544921875,0.5,0.8941802978515625,0.5,0.5,0.170166015625,0.5,0.5,0.5,0.2607421875,0.5,0.508324384689331,0.5,0.5,-0.0869140625,0.5,1.0,1.0,0.26171875,1.0
433,nested_q_transplant,True,0.9190679788589478,0.9190679788589478,0.0,True,1.0,01010101,0.576678991317749,0.999755859375,0.9998779296875,0.388671875,0.99981689453125,0.5,0.5,0.303466796875,0.5,0.9190679788589478,0.500244140625,0.50018310546875,0.259033203125,0.500213623046875,0.5,0.5,0.3056640625,0.5,0.505801757176717,0.500244140625,0.5002034505208334,-0.09716796875,0.5002237955729167,1.0,1.0,0.30712890625,1.0
433,nested_padding_sham,True,0.8936413526535034,0.8936413526535034,0.0,True,1.0,01010101,0.599862813949585,1.0,1.0,0.390380859375,1.0,0.5,0.5,0.25439453125,0.5,0.8936413526535034,0.5,0.5,0.160400390625,0.5,0.5,0.5,0.25830078125,0.5,0.5089021523793538,0.5,0.5,-0.089111328125,0.5,1.0,1.0,0.25927734375,1.0
439,independent_noop,True,0.9075100421905518,0.9075100421905518,0.0,True,1.0,01010101,0.55509352684021,0.994140625,0.993896484375,0.398193359375,0.9940185546875,0.5,0.5,0.323974609375,0.5,0.9075100421905518,0.505859375,0.50640869140625,0.350830078125,0.506134033203125,0.5,0.5,0.323974609375,0.5,0.5369595686594646,0.50244140625,0.501220703125,-0.06396484375,0.5018310546875,1.0,1.0,0.323974609375,1.0
439,independent_q_restore,True,0.861302375793457,0.861302375793457,0.0,True,1.0,01010101,0.580435037612915,1.0,1.0,0.40673828125,1.0,0.5,0.5,0.32373046875,0.5,0.861302375793457,0.5,0.5,0.212890625,0.5,0.5,0.5,0.32080078125,0.5,0.5522232055664062,0.5,0.5,-0.035400390625,0.5,1.0,1.0,0.32373046875,1.0
439,independent_padding_sham,True,0.9070554971694946,0.9070554971694946,0.0,True,1.0,01010101,0.5604422092437744,0.97021484375,0.9705810546875,0.409423828125,0.97039794921875,0.5,0.5,0.333984375,0.5,0.9070554971694946,0.52978515625,0.52789306640625,0.2841796875,0.528839111328125,0.5,0.5,0.332275390625,0.5,0.5327107111612955,0.50146484375,0.5,-0.060791015625,0.500732421875,1.0,1.0,0.333984375,1.0
439,nested_noop,True,0.8549023866653442,0.8549023866653442,0.0,True,1.0,01010101,0.5965301990509033,1.0,1.0,0.396484375,1.0,0.5,0.5,0.3173828125,0.5,0.8549023866653442,0.5,0.5,0.1640625,0.5,0.5,0.5,0.31396484375,0.5,0.547202746073405,0.5,0.5,-0.05517578125,0.5,1.0,1.0,0.3173828125,1.0
439,nested_q_transplant,True,0.8876509666442871,0.8876509666442871,0.0,True,1.0,01010101,0.5783596038818359,0.999755859375,0.9998779296875,0.39013671875,0.99981689453125,0.5,0.5,0.32958984375,0.5,0.8876509666442871,0.500244140625,0.5001220703125,0.23974609375,0.50018310546875,0.5,0.5,0.329345703125,0.5,0.5336653391520182,0.500244140625,0.5001220703125,-0.0712890625,0.50018310546875,1.0,1.0,0.32958984375,1.0
