inference_status,q,k,cell,schedule,seed,phase,phase_step,global_step,rho_y
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,37,boundary,0,64,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,37,phase_b,1,65,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,37,phase_b,2,66,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,37,phase_b,4,68,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,37,phase_b,8,72,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,37,phase_b,16,80,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,37,phase_b,32,96,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,37,phase_b,64,128,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,37,phase_b,128,192,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,37,phase_b,256,320,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,37,phase_b,512,576,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,37,phase_b,1024,1088,0.2587
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,37,phase_b,1984,2048,0.2587
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,101,boundary,0,64,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,101,phase_b,1,65,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,101,phase_b,2,66,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,101,phase_b,4,68,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,101,phase_b,8,72,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,101,phase_b,16,80,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,101,phase_b,32,96,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,101,phase_b,64,128,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,101,phase_b,128,192,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,101,phase_b,256,320,0.22
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,101,phase_b,512,576,0.2458
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,101,phase_b,1024,1088,0.2448
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,101,phase_b,1984,2048,0.2458
exploratory_post_hoc_boundary_specific,0.75,4,responsive,delayed_critic_reset,53,boundary,0,64,0.0
exploratory_post_hoc_boundary_specific,0.75,4,responsive,delayed_critic_reset,53,phase_b,1,65,0.0
exploratory_post_hoc_boundary_specific,0.75,4,responsive,delayed_critic_reset,53,phase_b,2,66,0.0
exploratory_post_hoc_boundary_specific,0.75,4,responsive,delayed_critic_reset,53,phase_b,4,68,0.0
exploratory_post_hoc_boundary_specific,0.75,4,responsive,delayed_critic_reset,53,phase_b,8,72,0.0
exploratory_post_hoc_boundary_specific,0.75,4,responsive,delayed_critic_reset,53,phase_b,16,80,0.0
exploratory_post_hoc_boundary_specific,0.75,4,responsive,delayed_critic_reset,53,phase_b,32,96,0.0
exploratory_post_hoc_boundary_specific,0.75,4,responsive,delayed_critic_reset,53,phase_b,64,128,0.0
exploratory_post_hoc_boundary_specific,0.75,4,responsive,delayed_critic_reset,53,phase_b,128,192,0.0
exploratory_post_hoc_boundary_specific,0.75,4,responsive,delayed_critic_reset,53,phase_b,256,320,0.1155
exploratory_post_hoc_boundary_specific,0.75,4,responsive,delayed_critic_reset,53,phase_b,512,576,0.248
exploratory_post_hoc_boundary_specific,0.75,4,responsive,delayed_critic_reset,53,phase_b,1024,1088,0.248
exploratory_post_hoc_boundary_specific,0.75,4,responsive,delayed_critic_reset,53,phase_b,1984,2048,0.248
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,41,boundary,0,64,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,41,phase_b,1,65,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,41,phase_b,2,66,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,41,phase_b,4,68,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,41,phase_b,8,72,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,41,phase_b,16,80,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,41,phase_b,32,96,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,41,phase_b,64,128,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,41,phase_b,128,192,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,41,phase_b,256,320,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,41,phase_b,512,576,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,41,phase_b,1024,1088,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,high_high,41,phase_b,1984,2048,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,53,boundary,0,64,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,53,phase_b,1,65,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,53,phase_b,2,66,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,53,phase_b,4,68,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,53,phase_b,8,72,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,53,phase_b,16,80,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,53,phase_b,32,96,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,53,phase_b,64,128,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,53,phase_b,128,192,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,53,phase_b,256,320,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_carry,53,phase_b,512,576,0.0
