route_depth,regime,d1_duplicate_regimes_collapsed,branch_accuracy_estimate,branch_accuracy_ci_low,branch_accuracy_ci_high,branch_accuracy_n_seeds,branch_accuracy_n_cells,full_route_success_estimate,full_route_success_ci_low,full_route_success_ci_high,full_route_success_n_seeds,full_route_success_n_cells,effective_per_fork_success_estimate,effective_per_fork_success_ci_low,effective_per_fork_success_ci_high,effective_per_fork_success_n_seeds,effective_per_fork_success_n_cells,pooled_independent_prediction_estimate,pooled_independent_prediction_ci_low,pooled_independent_prediction_ci_high,pooled_independent_prediction_n_seeds,pooled_independent_prediction_n_cells,independent_prediction_estimate,independent_prediction_ci_low,independent_prediction_ci_high,independent_prediction_n_seeds,independent_prediction_n_cells,pooled_compounding_gap_estimate,pooled_compounding_gap_ci_low,pooled_compounding_gap_ci_high,pooled_compounding_gap_n_seeds,pooled_compounding_gap_n_cells,proxy_flip_rate_estimate,proxy_flip_rate_ci_low,proxy_flip_rate_ci_high,proxy_flip_rate_n_seeds,proxy_flip_rate_n_cells,rule_flip_rate_estimate,rule_flip_rate_ci_low,rule_flip_rate_ci_high,rule_flip_rate_n_seeds,rule_flip_rate_n_cells
1,identical_regimes_collapsed,1,0.8921041666666666,0.8677077083333334,0.9159710416666668,10,120,0.8921041666666666,0.8679591666666666,0.9152647916666667,10,120,0.8921041666666666,0.8671633333333335,0.9160755208333333,10,120,0.8921041666666666,0.8680704166666667,0.9156264583333331,10,120,0.8921041666666666,0.8687373958333333,0.9155127083333333,10,120,0.0,0.0,0.0,10,120,0.10789583333333333,0.08511145833333335,0.13165083333333333,10,120,0.8921041666666666,0.8680863541666667,0.9150928125000001,10,120
2,fixed_total,0,0.6560062499999999,0.6407683333333333,0.6732854166666665,10,120,0.6088458333333333,0.5865664583333332,0.6328233333333334,10,120,0.6613077637117152,0.6435885636741392,0.6802387947935532,10,120,0.5954511536458332,0.5719861084244793,0.6218858826822918,10,120,0.5851921250000001,0.5588424274479167,0.6155314893229168,10,120,0.013394679687500003,0.006680255625000005,0.019978848515625,10,120,0.34202083333333333,0.32487463541666667,0.35614713541666665,10,120,0.6547875,0.6374044791666668,0.6725272916666668,10,120
2,per_fork_matched,0,0.7217520833333333,0.7036289583333334,0.7397536979166668,10,120,0.6742416666666667,0.6491122916666666,0.6996880208333334,10,120,0.7186126320820103,0.7009646938329764,0.7389497322907053,10,120,0.6682844973958333,0.6419158732421876,0.695090427903646,10,120,0.6581441250000001,0.6282796269791668,0.6897716232812502,10,120,0.005957169270833335,-0.0010054064973958306,0.01292749165364584,10,120,0.27653750000000005,0.25874536458333336,0.29488125,10,120,0.7211083333333335,0.7030314583333334,0.7388355208333334,10,120
4,fixed_total,0,0.34591770833333324,0.33549234375,0.35911177083333334,10,120,0.21470833333333336,0.209958125,0.2196130208333333,10,120,0.3386937293242254,0.3274204155968254,0.34970818785241803,10,120,0.221604574902973,0.21798870630785916,0.22527294222400698,10,120,0.21850028728028908,0.21461377631523987,0.22243809578230508,10,120,-0.006896241569639652,-0.01025969348194452,-0.0038193424896482905,10,120,0.6275604166666666,0.6118115625,0.6407147916666668,10,120,0.3221885416666667,0.31320322916666665,0.3338158854166667,10,120
4,per_fork_matched,0,0.5178010416666667,0.5094561979166667,0.527336640625,10,120,0.38375000000000004,0.3740285416666667,0.39233770833333337,10,120,0.5067494189331139,0.4938686740744364,0.5169143551045524,10,120,0.3897368348799613,0.3817253035063124,0.397336913342473,10,120,0.3879078206085755,0.38002830849674774,0.395556769518102,10,120,-0.005986834879961313,-0.009140601132537472,-0.003320563361034093,10,120,0.4552770833333334,0.44466666666666665,0.4650313541666667,10,120,0.49560729166666667,0.488686875,0.5039959114583333,10,120
