location,contrast,estimate,ci_low,ci_high,n_seeds
observation,step_minus_episode,0.018701614583333335,0.0142939453125,0.023025415364583333,10
observation,episode_minus_state,0.09908802083333333,0.08800411328124999,0.11164706901041667,10
observation,step_minus_state,0.11778963541666668,0.10654495442708332,0.13021605989583332,10
label,step_minus_episode,0.028757361111111112,0.025374449652777777,0.03237832465277778,10
label,episode_minus_state,-0.0008952083333333323,-0.007345331597222221,0.005420529513888891,10
label,step_minus_state,0.02786215277777778,0.021035364583333334,0.035080050347222225,10
reward,step_minus_episode,0.006204791666666666,0.002706578125,0.010013515625,10
reward,episode_minus_state,-0.03980729166666667,-0.048441328125,-0.030686828124999996,10
reward,step_minus_state,-0.0336025,-0.041565171875,-0.025051130208333328,10
