run_id,seed,route_depth,q,k,width,regime,steps,iid_branch_accuracy,iid_full_route_success,branch_accuracy,full_route_success,effective_per_fork_success,independent_prediction,pooled_independent_prediction,compounding_gap,pooled_compounding_gap,proxy_branch_agreement,first_divergence_mean,single_conflict_branch_accuracy,single_conflict_conflicted_stage_accuracy,single_conflict_overall_branch_accuracy,single_conflict_nonconflicted_stage_accuracy,single_conflict_full_route_success,address_reversed_branch_accuracy,address_removed_branch_accuracy,address_reversed_delta,address_removed_delta,address_reversed_abs_delta,address_removed_abs_delta,proxy_flip_rate,rule_flip_rate,proxy_spillover,rule_spillover,physical_success,physical_branch_accuracy,physical_collision_rate,physical_matches_vectorized,first_divergence_rate_0,first_divergence_rate_1,first_divergence_rate_2,first_divergence_rate_3,first_divergence_rate_4
5633b4dcbc42588a4f3d,53,4,0.99,4,64,fixed_total,1024,0.98975,0.9595,0.000125,0.0,0.0,0.0,2.4414062500000004e-16,0.0,-2.4414062500000004e-16,0.999875,0.0,0.000375,0.000375,0.74990625,0.99975,0.000375,0.499875,0.324,0.49975,0.323875,0.49975,0.323875,0.9993750000000001,0.000125,0.0005833333333333334,0.0004583333333333333,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0
5649eedc07b63bb99aff,23,4,0.99,2,16,fixed_total,1024,0.99,0.961,0.006625,0.0,0.0,0.0,1.926386962890625e-09,0.0,-1.926386962890625e-09,0.993375,0.005,0.0,0.0,0.75,1.0,0.0,0.504125,0.3475,0.49750000000000005,0.340875,0.49750000000000005,0.340875,0.9915,0.007,0.005791666666666667,0.007458333333333334,0.0,0.009765625,0.0,1,0.995,0.005,0.0,0.0,0.0
57cf997d83a353fd1149,23,2,0.99,2,16,fixed_total,1024,0.99175,0.986,0.5,0.5,0.7071067811865476,0.25,0.25,0.25,0.25,0.5,1.0,0.353,0.353,0.615375,0.87775,0.29425,1.0,0.75,0.5,0.25,0.5,0.25,0.37775000000000003,0.37424999999999997,0.4655,0.52825,0.5234375,0.5234375,0.0,1,0.5,0.0,0.5,,
57ec4bee88a54677f37d,11,2,0.95,2,64,per_fork_matched,2048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,-0.5,-0.25,0.5,0.25,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0,1.0,,
58f2a82f1f07e3acffbf,41,1,0.99,4,64,fixed_total,1024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.928,0.0,-0.07199999999999995,0.0,0.07199999999999995,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0.0,1.0,,,
5981b6e5a0698e20d307,101,4,0.95,4,16,per_fork_matched,4096,0.95,0.811,0.00025,0.0,0.0,0.0,3.906250000000001e-15,0.0,-3.906250000000001e-15,0.99975,0.0,0.0,0.0,0.75,1.0,0.0,0.49975,0.39625,0.49950000000000006,0.396,0.49950000000000006,0.396,0.99975,0.000125,0.00025,0.00029166666666666664,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0
5999e702d56a29d4e1be,97,2,0.95,4,64,per_fork_matched,2048,0.99825,0.9965,0.928,0.8645,0.9297849213662265,0.860823,0.8611840000000001,0.0036770000000000413,0.0033159999999999856,0.072,1.7735,0.975,0.975,0.9875,1.0,0.975,0.572,0.7465,-0.3560000000000001,-0.1815,0.3560000000000001,0.1815,0.072,0.9279999999999999,0.074,0.0865,0.8203125,0.90234375,0.0,1,0.091,0.0445,0.8645,,
59f67cfab9d2e5152095,83,2,0.95,4,16,per_fork_matched,2048,0.95975,0.9205,0.17,0.0,0.0,0.0,0.028900000000000006,0.0,-0.028900000000000006,0.83,0.34,0.18025,0.18025,0.590125,1.0,0.18025,0.495,0.2845,0.32499999999999996,0.11449999999999996,0.32499999999999996,0.11449999999999996,0.8300000000000001,0.17,0.01825,0.015,0.0,0.17578125,0.0,1,0.66,0.34,0.0,,
5a9440981ca0d8313d37,23,4,0.75,4,16,per_fork_matched,4096,0.747875,0.3115,0.00325,0.0,0.0,9.6e-11,1.1156640624999997e-10,-9.6e-11,-1.1156640624999997e-10,0.99675,0.004,0.0035,0.0035,0.74828125,0.9965416666666667,0.0035,0.502,0.35225,0.49875,0.34900000000000003,0.49875,0.34900000000000003,0.99375,0.004625000000000001,0.005875,0.004083333333333333,0.0,0.005859375,0.0,1,0.996,0.004,0.0,0.0,0.0
5a97b83aa7e6a45a7066,71,2,0.95,2,64,per_fork_matched,2048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,-0.5,-0.25,0.5,0.25,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0,1.0,,
