inference_status,q,k,cell_label,high_schedule,low_schedule,contrast,outcome,primary_endpoint,estimate,ci_low,ci_high,n_seeds,n_pairs
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,zero_zero,early-only - never,final_quantization_abs_residual,0,-0.0006400000000000003,-0.001479999999999998,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,zero_zero,early-only - never,final_within_0_01_of_interaction_plateau,0,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,final_rho_y,1,0.16802,0.11107275,0.22227500000000003,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,final_intended_probability,0,0.16791456536533889,0.10760820179576769,0.22249751415699734,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,phase_b_rho_y_area,0,303.75944,223.53485200000006,374.24032000000005,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,phase_b_mean_rho_y,0,0.15310455645161292,0.11234456854838708,0.18953024899193552,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,crossing_observed,0,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,restricted_crossing_phase_b_updates,0,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,final_iid_accuracy,0,0.040499999999999994,0.02477375000000001,0.05517500000000001,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,final_iid_reward,0,0.040499999999999994,0.025174999999999993,0.05535125000000001,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,final_policy_entropy,0,0.00043790385812682265,-2.843682414428387e-06,0.00123525021143771,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,boundary_rho_y,0,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,boundary_policy_entropy,0,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,boundary_proxy_hard_flip,0,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,boundary_proxy_probability_ate,0,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,boundary_exact_hard_flip,0,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,boundary_exact_probability_ate,0,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,final_proxy_hard_flip,0,-0.16802,-0.22171125000000003,-0.10768775000000001,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,final_proxy_probability_ate,0,-0.16791982805877606,-0.22225399184974534,-0.10920441936873009,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,final_exact_hard_flip,0,0.16802,0.10697975,0.22342075000000003,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,final_exact_probability_ate,0,-0.1679085080876538,-0.223377348832358,-0.11068458475601882,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,proxy_hard_flip_change,0,-0.16802,-0.22247075000000002,-0.10724850000000002,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,exact_hard_flip_change,0,0.16802,0.10868125,0.22169075000000005,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,proxy_probability_ate_change,0,-0.16791982805877606,-0.22231106698219844,-0.10724908682599983,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,exact_probability_ate_change,0,-0.16790850808765384,-0.22336583249001993,-0.11130611103077874,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,actor_l2_from_boundary,0,2.716899964719869,1.3270063363086033,4.070701963310767,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,actor_relative_l2_from_boundary,0,0.30261162126346564,0.14900035460292335,0.4544162320966505,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,critic_l2_from_boundary,0,-1.1629929043085538,-2.093722159725267,-0.4461149742309242,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,critic_relative_l2_from_boundary,0,-0.09862452437737976,-0.17294604146440556,-0.036292340878422764,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,phase_b_critic_loss_log_grid_mean,0,-0.009580059160852934,-0.019925908426409948,-0.002875964392250284,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,phase_b_critic_loss_final_logged,0,-1.1220138276257785e-06,-1.3307290439570352e-05,1.2030343207243278e-05,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,final_quantization_abs_residual,0,0.002170000000000001,0.0005697500000000005,0.003730000000000002,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,delayed_carry,zero_zero,delayed - never,final_within_0_01_of_interaction_plateau,0,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,final_rho_y,1,-0.18733,-0.2477925,-0.12490899999999999,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,final_intended_probability,0,-0.1872187852790194,-0.2473121625412288,-0.12540291899832323,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,phase_b_rho_y_area,0,-335.908675,-404.1776315,-254.32632949999996,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,phase_b_mean_rho_y,0,-0.16930880796370967,-0.20323767886844757,-0.12862271396169356,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,crossing_observed,0,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,restricted_crossing_phase_b_updates,0,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,final_iid_accuracy,0,-0.04607499999999999,-0.06092499999999999,-0.029699374999999983,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,final_iid_reward,0,-0.04607499999999999,-0.061124999999999985,-0.029524374999999978,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,final_policy_entropy,0,-0.0004853745433268321,-0.0012778901709492028,-1.811490217169987e-05,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,boundary_rho_y,0,0.0020399999999999997,0.0,0.00608,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,boundary_policy_entropy,0,0.07592630882782472,0.0594140949540436,0.09390034824372,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,boundary_proxy_hard_flip,0,-0.003939999999999999,-0.0118,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,boundary_proxy_probability_ate,0,-0.04019655346937706,-0.05621457917599022,-0.026646453035712576,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,boundary_exact_hard_flip,0,0.0017475000000000001,0.0,0.005203000000000002,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,boundary_exact_probability_ate,0,-0.0008289590979353969,-0.0014516198374658063,-0.0003820436225429842,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,final_proxy_hard_flip,0,0.18733,0.1206885,0.24772150000000004,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,final_proxy_probability_ate,0,0.1872226554148086,0.12077595347502165,0.24737222698826689,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,final_exact_hard_flip,0,-0.18733,-0.24795400000000004,-0.125269,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,final_exact_probability_ate,0,0.18721412390544656,0.12488469499841165,0.24733106372336294,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,proxy_hard_flip_change,0,0.19127,0.12483700000000002,0.24930075000000002,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,exact_hard_flip_change,0,-0.1890775,-0.249845,-0.1261695,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,proxy_probability_ate_change,0,0.22741920888418568,0.1639885844294559,0.2861587723741464,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,exact_probability_ate_change,0,0.18804308300338196,0.12618331493867624,0.24877976226122972,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,actor_l2_from_boundary,0,-2.5044350574437457,-3.5212077266884223,-1.1624078766744674,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,actor_relative_l2_from_boundary,0,-0.2307878293301414,-0.34986509695329104,-0.06914138910746473,10,10
