label,color,n_runs,censored_runs,estimate,ci_low,ci_high,n_seeds
Removed,#667085,120,1,91.40833333333333,62.1725,127.1479166666667,10
Decorrelated,#009E73,120,0,42.04166666666667,37.799791666666664,46.25854166666667,10
Reversed q_B=.40,#E9A17B,120,0,24.333333333333332,22.674791666666668,26.000208333333333,10
Reversed q_B=.25,#DF7B52,120,0,19.96666666666667,18.533125000000002,21.98333333333333,10
Reversed q_B=.10,#D55E00,120,0,18.791666666666664,17.308333333333334,20.816666666666666,10
Perfectly reversed,#9F3D14,120,0,18.433333333333334,16.950000000000003,20.533333333333335,10
Replaced,#D4A72C,120,0,58.68333333333332,36.116249999999994,93.37666666666668,10
