seed,washout_offset,hamming_dispersion,signed_recency_margin,probability_dispersion,candidate_control_vector_dispersion,P_last_minus_first_margin,Q_last_minus_first_margin,Y_last_minus_first_margin
577,0,0.4,1.0,0.39991097034301204,0.2666666666666667,1.0,1.0,1.0
577,1,0.4,1.0,0.3997144528616905,0.2666666666666667,1.0,1.0,1.0
577,2,0.4,1.0,0.3995989223965334,0.2666666666666667,1.0,1.0,1.0
577,3,0.4,1.0,0.39946084747993876,0.2666666666666667,1.0,1.0,1.0
577,4,0.4,1.0,0.3993044089259007,0.2666666666666667,1.0,1.0,1.0
577,5,0.4,1.0,0.3991367508203366,0.2666666666666667,1.0,1.0,1.0
577,7,0.4,1.0,0.39875692467782936,0.2666666666666667,1.0,1.0,1.0
577,9,0.4,1.0,0.3983169602330458,0.2666666666666667,1.0,1.0,1.0
577,13,0.4,1.0,0.39732297261032057,0.2666666666666667,1.0,1.0,1.0
577,17,0.4,1.0,0.3962395846504172,0.2666666666666667,1.0,1.0,1.0
577,24,0.396875,0.9895833333333334,0.394299971006005,0.2663194444444445,0.984375,1.0,0.984375
577,33,0.396875,0.9895833333333334,0.3922838321891637,0.2663194444444445,0.984375,1.0,0.984375
577,45,0.396875,0.9895833333333334,0.3906633359377017,0.2663194444444445,0.984375,1.0,0.984375
577,62,0.396875,0.9895833333333334,0.38945845701160076,0.2663194444444445,0.984375,1.0,0.984375
577,85,0.396875,0.9895833333333334,0.3884660467277185,0.2663194444444445,0.984375,1.0,0.984375
577,117,0.39375,0.9791666666666666,0.38705505501196424,0.2659722222222223,0.96875,1.0,0.96875
577,128,0.39375,0.9791666666666666,0.38656653544216935,0.2659722222222223,0.96875,1.0,0.96875
577,161,0.39375,0.9791666666666666,0.38491682509856584,0.2659722222222223,0.96875,1.0,0.96875
577,222,0.39375,0.9791666666666666,0.37888479448617474,0.2659722222222223,0.96875,1.0,0.96875
577,256,0.390625,0.96875,0.3766958328403533,0.26562500000000006,0.953125,1.0,0.953125
587,0,0.4,1.0,0.39987505349662017,0.2666666666666667,1.0,1.0,1.0
587,1,0.4,1.0,0.3997728652212687,0.2666666666666667,1.0,1.0,1.0
587,2,0.4,1.0,0.39971579130656015,0.2666666666666667,1.0,1.0,1.0
587,3,0.4,1.0,0.39966908606470747,0.2666666666666667,1.0,1.0,1.0
587,4,0.4,1.0,0.3996215566695365,0.2666666666666667,1.0,1.0,1.0
587,5,0.4,1.0,0.39956915146158484,0.2666666666666667,1.0,1.0,1.0
587,7,0.4,1.0,0.3994497721706347,0.2666666666666667,1.0,1.0,1.0
