endpoint,estimate,ci_low,ci_high,confidence,n_seeds,bootstrap_draws,bootstrap_key,positive_count,negative_count,zero_count,at_least_0_05_count,values,decision,interval_role
Q_middle_minus_first_auc_33_128,0.006969572368421053,-0.0005838815789473685,0.019510690789473685,0.95,20,4000,e20:v1:bootstrap:secondary:Q-middle-minus-first-auc33-128,4,2,14,1,"[0.02006578947368421,-0.008963815789473684,0.0,0.0,0.0,0.0,0.0,0.11356907894736842,0.0009046052631578947,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,-0.0018092105263157895,0.0,0.0]",,
Y_middle_minus_first_auc_33_128,0.00022203947368421053,0.0,0.0006661184210526316,0.95,20,4000,e20:v1:bootstrap:secondary:Y-middle-minus-first-auc33-128,1,0,19,0,"[0.0,0.0,0.0,0.0,0.0044407894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,
P_last_minus_middle_auc_33_128,0.9994613486842105,0.9984745065789473,1.0,0.95,20,4000,e20:v1:bootstrap:secondary:P-last-minus-middle-auc33-128,20,0,0,20,"[1.0,0.9910361842105263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981907894736842,1.0,1.0]",,
Q_last_minus_middle_auc_33_128,0.9922697368421052,0.9799547697368421,0.999642269736842,0.95,20,4000,e20:v1:bootstrap:secondary:Q-last-minus-middle-auc33-128,20,0,0,20,"[0.9799342105263158,1.0,1.0,1.0,0.9955592105263158,1.0,1.0,0.8864309210526315,0.9990953947368421,1.0,1.0,1.0,0.984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",,
Y_last_minus_middle_auc_33_128,0.9917310855263158,0.979416015625,0.9990584909539476,0.95,20,4000,e20:v1:bootstrap:secondary:Y-last-minus-middle-auc33-128,20,0,0,20,"[0.9799342105263158,0.9910361842105263,1.0,1.0,0.9955592105263158,1.0,1.0,0.8864309210526315,0.9990953947368421,1.0,1.0,1.0,0.984375,1.0,1.0,1.0,1.0,0.9981907894736842,1.0,1.0]",,
P_behavior_last_minus_first_auc_33_128,0.4961348684210526,0.4900878392269737,0.4997790398848685,0.95,20,4000,e20:v1:bootstrap:secondary:P-behavior-last-minus-first-auc33-128,20,0,0,20,"[0.4899671052631579,0.5,0.5,0.5,0.4977796052631579,0.5,0.5,0.4432154605263158,0.49954769736842103,0.5,0.5,0.5,0.4921875,0.5,0.5,0.5,0.5,0.5,0.5,0.5]",,
Q_behavior_last_minus_first_auc_33_128,0.4996196546052632,0.4991031044407894,0.5,0.95,20,4000,e20:v1:bootstrap:secondary:Q-behavior-last-minus-first-auc33-128,20,0,0,20,"[0.5,0.49551809210526315,0.5,0.5,0.4977796052631579,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4990953947368421,0.5,0.5]",,
Y_behavior_last_minus_first_auc_33_128,0.4959765625,0.4898165090460527,0.4996402138157894,0.95,20,4000,e20:v1:bootstrap:secondary:Y-behavior-last-minus-first-auc33-128,20,0,0,20,"[0.4899671052631579,0.49551809210526315,0.5,0.5,0.5,0.5,0.5,0.4432154605263158,0.49954769736842103,0.5,0.5,0.5,0.4921875,0.5,0.5,0.5,0.5,0.4990953947368421,0.5,0.5]",,
P_causal_last_minus_first_auc_33_128,0.4961348684210526,0.4899547697368421,0.49977796052631585,0.95,20,4000,e20:v1:bootstrap:secondary:P-causal-last-minus-first-auc33-128,20,0,0,20,"[0.4899671052631579,0.5,0.5,0.5,0.4977796052631579,0.5,0.5,0.4432154605263158,0.49954769736842103,0.5,0.5,0.5,0.4921875,0.5,0.5,0.5,0.5,0.5,0.5,0.5]",,
Q_causal_last_minus_first_auc_33_128,0.4996196546052632,0.49910567434210523,0.5,0.95,20,4000,e20:v1:bootstrap:secondary:Q-causal-last-minus-first-auc33-128,20,0,0,20,"[0.5,0.49551809210526315,0.5,0.5,0.4977796052631579,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4990953947368421,0.5,0.5]",,
Y_causal_last_minus_first_auc_33_128,0.4959765625,0.48986143092105267,0.4996095805921053,0.95,20,4000,e20:v1:bootstrap:secondary:Y-causal-last-minus-first-auc33-128,20,0,0,20,"[0.4899671052631579,0.49551809210526315,0.5,0.5,0.5,0.5,0.5,0.4432154605263158,0.49954769736842103,0.5,0.5,0.5,0.4921875,0.5,0.5,0.5,0.5,0.4990953947368421,0.5,0.5]",,
