n0,n_pairs,estimate,ci_low,ci_high,n_seeds
512,18,1045.8333333333333,895.8333333333333,1204.1666666666665,10
2048,23,3758.3333333333335,3345.8333333333335,4125.0,10
8192,14,10666.666666666666,9361.111111111111,12083.333333333334,9
32768,11,15677.083333333332,13499.739583333334,17656.770833333336,8
