condition,n_runs,estimate,ci_low,ci_high,n_seeds
removal,120,0.053762500000000005,0.030699270833333334,0.07770893749999999,10
decorrelation,120,0.0041849999999999995,0.0,0.012555,10
replacement,120,0.05702,0.035584000000000005,0.07777243749999999,10
