quantity,seed,value
postedit_restore_sham_selective_Q,503,-0.0166015625
postedit_restore_sham_selective_Q,509,-0.0537109375
postedit_restore_sham_selective_Q,521,-0.028076171875
postedit_restore_sham_selective_Q,523,-0.049560546875
postedit_restore_sham_P_behavior,409,-0.007080078125
postedit_restore_sham_P_behavior,419,-0.0068359375
postedit_restore_sham_P_behavior,421,-0.001708984375
postedit_restore_sham_P_behavior,431,-0.00537109375
postedit_restore_sham_P_behavior,433,-0.013916015625
postedit_restore_sham_P_behavior,439,-0.02392578125
postedit_restore_sham_P_behavior,443,-0.006591796875
postedit_restore_sham_P_behavior,449,-0.000244140625
postedit_restore_sham_P_behavior,457,-0.008056640625
postedit_restore_sham_P_behavior,461,-0.007568359375
postedit_restore_sham_P_behavior,463,-0.0029296875
postedit_restore_sham_P_behavior,467,-0.005615234375
postedit_restore_sham_P_behavior,479,-0.009033203125
postedit_restore_sham_P_behavior,487,-0.004150390625
postedit_restore_sham_P_behavior,491,-0.001953125
postedit_restore_sham_P_behavior,499,-0.004638671875
postedit_restore_sham_P_behavior,503,-0.0126953125
postedit_restore_sham_P_behavior,509,-0.00830078125
postedit_restore_sham_P_behavior,521,-0.00634765625
postedit_restore_sham_P_behavior,523,-0.005859375
postedit_restore_sham_P_causal,409,-0.0074462890625
postedit_restore_sham_P_causal,419,-0.0067138671875
postedit_restore_sham_P_causal,421,-0.002197265625
postedit_restore_sham_P_causal,431,-0.0064697265625
postedit_restore_sham_P_causal,433,-0.0137939453125
postedit_restore_sham_P_causal,439,-0.0233154296875
postedit_restore_sham_P_causal,443,-0.0079345703125
postedit_restore_sham_P_causal,449,-0.0001220703125
postedit_restore_sham_P_causal,457,-0.0076904296875
postedit_restore_sham_P_causal,461,-0.008544921875
postedit_restore_sham_P_causal,463,-0.0035400390625
postedit_restore_sham_P_causal,467,-0.0048828125
postedit_restore_sham_P_causal,479,-0.0093994140625
postedit_restore_sham_P_causal,487,-0.004638671875
