inference_status,run_id,seed,cohort,q_q,k_y,overlap,step,behavior_P,causal_P,causal_c_hard_P,causal_abs_P,causal_share_P,behavior_Q,causal_Q,causal_c_hard_Q,causal_abs_Q,causal_share_Q,behavior_Y,causal_Y,causal_c_hard_Y,causal_abs_Y,causal_share_Y,probe_raw_control,probe_raw_control_permuted,probe_raw_P,probe_raw_P_permuted,probe_raw_P_selectivity,probe_raw_Q,probe_raw_Q_permuted,probe_raw_Q_selectivity,probe_raw_Y,probe_raw_Y_permuted,probe_raw_Y_selectivity,probe_first_hidden_control,probe_first_hidden_control_permuted,probe_first_hidden_P,probe_first_hidden_P_permuted,probe_first_hidden_P_selectivity,probe_first_hidden_Q,probe_first_hidden_Q_permuted,probe_first_hidden_Q_selectivity,probe_first_hidden_Y,probe_first_hidden_Y_permuted,probe_first_hidden_Y_selectivity,probe_final_hidden_control,probe_final_hidden_control_permuted,probe_final_hidden_P,probe_final_hidden_P_permuted,probe_final_hidden_P_selectivity,probe_final_hidden_Q,probe_final_hidden_Q_permuted,probe_final_hidden_Q_selectivity,probe_final_hidden_Y,probe_final_hidden_Y_permuted,probe_final_hidden_Y_selectivity,tuple_consistency,codeword_consistency,codeword_consistency_row_weighted,nuisance_consistency,sign_inversion_symmetry,signature,signature_bits,named_rule,function_family,essential_variables,essential_variable_count,monotone_in_candidates,nearest_named_rules,nearest_named_hamming,tuple_---_positive_rate,tuple_---_positive_probability,tuple_--+_positive_rate,tuple_--+_positive_probability,tuple_-+-_positive_rate,tuple_-+-_positive_probability,tuple_-++_positive_rate,tuple_-++_positive_probability,tuple_+--_positive_rate,tuple_+--_positive_probability,tuple_+-+_positive_rate,tuple_+-+_positive_probability,tuple_++-_positive_rate,tuple_++-_positive_probability,tuple_+++_positive_rate,tuple_+++_positive_probability,phase,taxonomy
adaptive_exploratory_posthoc_with_fresh_seed_replication,5541a56ca6cb92cb3a32,11,original,0.9,3,independent,0,0.4990234375,0.4996337890625,-0.000732421875,0.006103515625,0.3282275711159738,0.49853515625,0.49945068359375,-0.0010986328125,0.0045166015625,0.2428884026258206,0.50244140625,0.5025227864583334,0.005045572916666667,0.007975260416666666,0.4288840262582057,0.53515625,0.50244140625,1.0,0.493408203125,0.46484375,0.51025390625,0.51611328125,-0.02490234375,0.500244140625,0.4931640625,-0.034912109375,0.557861328125,0.49365234375,0.999755859375,0.49755859375,0.44189453125,0.76318359375,0.510009765625,0.205322265625,0.49951171875,0.50732421875,-0.058349609375,0.560791015625,0.494873046875,0.9716796875,0.50048828125,0.410888671875,0.6728515625,0.505859375,0.112060546875,0.52587890625,0.502197265625,-0.034912109375,0.99609375,1.0,1.0,0.99609375,0.0,255,11111111,constant_positive,constant_positive,none,0,1,constant_positive,0,0.998046875,0.539695614383889,0.998046875,0.5404654022697734,0.9921875,0.5391802940678974,1.0,0.5387869108811929,0.998046875,0.5393466509985589,0.99609375,0.5384496787871837,0.986328125,0.5370772928034844,1.0,0.5367803173727503,D,tuple:constant_positive
adaptive_exploratory_posthoc_with_fresh_seed_replication,5541a56ca6cb92cb3a32,11,original,0.9,3,independent,1,0.50341796875,0.5050048828125,0.010009765625,0.011474609375,0.3868312757201646,0.49853515625,0.49908447265625,-0.0018310546875,0.0069580078125,0.2345679012345679,0.5029296875,0.5030110677083334,0.006022135416666667,0.01123046875,0.3786008230452675,0.53515625,0.50244140625,1.0,0.493408203125,0.46484375,0.51025390625,0.51611328125,-0.02490234375,0.500244140625,0.4931640625,-0.034912109375,0.55712890625,0.48974609375,0.999755859375,0.50048828125,0.442626953125,0.7607421875,0.510498046875,0.20361328125,0.499755859375,0.50732421875,-0.057373046875,0.561279296875,0.498291015625,0.97265625,0.50244140625,0.411376953125,0.669677734375,0.504638671875,0.1083984375,0.521728515625,0.497802734375,-0.03955078125,0.994140625,1.0,1.0,0.994140625,0.0,255,11111111,constant_positive,constant_positive,none,0,1,constant_positive,0,0.98828125,0.5312780767006646,0.998046875,0.5318284676197155,0.984375,0.5319420636818937,0.9921875,0.5316751575097154,0.998046875,0.5435299876565381,0.998046875,0.5427432424159894,0.994140625,0.5430605596596159,1.0,0.5428078861204888,D,tuple:constant_positive
adaptive_exploratory_posthoc_with_fresh_seed_replication,5541a56ca6cb92cb3a32,11,original,0.9,3,independent,2,0.545654296875,0.5496826171875,0.099365234375,0.099365234375,0.5184713375796178,0.500244140625,0.5003662109375,0.000732421875,0.037841796875,0.19745222929936307,0.504150390625,0.5057373046875,0.011474609375,0.054443359375,0.2840764331210191,0.53515625,0.50244140625,1.0,0.493408203125,0.46484375,0.51025390625,0.51611328125,-0.02490234375,0.500244140625,0.4931640625,-0.034912109375,0.5576171875,0.49072265625,1.0,0.503173828125,0.4423828125,0.761962890625,0.505126953125,0.204345703125,0.502685546875,0.505126953125,-0.054931640625,0.558837890625,0.502197265625,0.980712890625,0.494140625,0.421875,0.67138671875,0.505126953125,0.112548828125,0.5166015625,0.49365234375,-0.042236328125,0.950927734375,1.0,1.0,0.950927734375,0.0,255,11111111,constant_positive,constant_positive,none,0,1,constant_positive,0,0.892578125,0.518717890746976,0.91796875,0.5192530727743798,0.904296875,0.520369734561434,0.90625,0.52023302702196,0.99609375,0.5438018917495288,0.99609375,0.5431677783686645,0.994140625,0.5446356214483873,1.0,0.5445347460250141,D,tuple:constant_positive
adaptive_exploratory_posthoc_with_fresh_seed_replication,5541a56ca6cb92cb3a32,11,original,0.9,3,independent,3,0.6591796875,0.660400390625,0.32080078125,0.32080078125,0.636987961541569,0.51123046875,0.51434326171875,0.0286865234375,0.0804443359375,0.15973176052355173,0.509765625,0.50732421875,0.0146484375,0.10237630208333333,0.20328027793487918,0.53515625,0.50244140625,1.0,0.493408203125,0.46484375,0.51025390625,0.51611328125,-0.02490234375,0.500244140625,0.4931640625,-0.034912109375,0.559814453125,0.490234375,1.0,0.50390625,0.440185546875,0.763916015625,0.50732421875,0.2041015625,0.505859375,0.506103515625,-0.053955078125,0.564453125,0.50537109375,0.98974609375,0.49072265625,0.42529296875,0.685302734375,0.51318359375,0.120849609375,0.5166015625,0.499755859375,-0.0478515625,0.83447265625,0.9375,0.9375,0.8525390625,0.0,255,11111111,constant_positive,constant_positive,none,0,1,constant_positive,0,0.642578125,0.5063391220034184,0.669921875,0.506841205670374,0.669921875,0.5091529692325298,0.71875,0.509181997495086,0.990234375,0.5453242649541545,0.990234375,0.5447200943306638,0.99609375,0.547669727304709,0.998046875,0.5477560746314918,D,nuisance_or_state_sensitive
adaptive_exploratory_posthoc_with_fresh_seed_replication,5541a56ca6cb92cb3a32,11,original,0.9,3,independent,4,0.760986328125,0.757080078125,0.51416015625,0.51416015625,0.710886075949367,0.518310546875,0.52178955078125,0.0435791015625,0.1014404296875,0.14025316455696202,0.503662109375,0.5030517578125,0.006103515625,0.107666015625,0.1488607594936709,0.53515625,0.50244140625,1.0,0.493408203125,0.46484375,0.51025390625,0.51611328125,-0.02490234375,0.500244140625,0.4931640625,-0.034912109375,0.558837890625,0.49462890625,1.0,0.503662109375,0.441162109375,0.76611328125,0.509765625,0.207275390625,0.508056640625,0.505126953125,-0.05078125,0.568603515625,0.501220703125,0.993408203125,0.493408203125,0.4248046875,0.698974609375,0.5126953125,0.13037109375,0.522705078125,0.493408203125,-0.0458984375,0.765380859375,0.796875,0.796875,0.817138671875,0.75,31,00011111,,three_candidate_monotone_composite,P+Q+Y,3,1,majority_PQY+pure_P,1,0.431640625,0.4962433734652096,0.447265625,0.49670390949084375,0.49609375,0.5005265600076192,0.517578125,0.500740920311049,0.994140625,0.5504980498118018,0.990234375,0.5499637548855698,1.0,0.554628306169431,0.99609375,0.5549870783999646,D,nuisance_or_state_sensitive
adaptive_exploratory_posthoc_with_fresh_seed_replication,5541a56ca6cb92cb3a32,11,original,0.9,3,independent,5,0.833251953125,0.8280029296875,0.656005859375,0.656005859375,0.7697302458820721,0.526123046875,0.52593994140625,0.0518798828125,0.1031494140625,0.12103127238004296,0.499267578125,0.5021158854166666,0.004231770833333333,0.09309895833333333,0.10923848173788493,0.53515625,0.50244140625,1.0,0.493408203125,0.46484375,0.51025390625,0.51611328125,-0.02490234375,0.500244140625,0.4931640625,-0.034912109375,0.555908203125,0.494384765625,1.0,0.505126953125,0.444091796875,0.766845703125,0.511474609375,0.2109375,0.508544921875,0.507080078125,-0.04736328125,0.570068359375,0.5078125,0.995849609375,0.49267578125,0.42578125,0.708740234375,0.5107421875,0.138671875,0.515380859375,0.49609375,-0.0546875,0.833251953125,0.9375,0.9375,0.844970703125,1.0,15,00001111,pure_P,pure_P,P,1,1,pure_P,0,0.275390625,0.48787767353981526,0.283203125,0.488263372617997,0.38671875,0.49386396358764295,0.37109375,0.49414567956536415,0.9921875,0.5590547512127972,0.994140625,0.5586297674479235,0.998046875,0.5651444333976914,0.998046875,0.5656308270306482,D,nuisance_or_state_sensitive
adaptive_exploratory_posthoc_with_fresh_seed_replication,5541a56ca6cb92cb3a32,11,original,0.9,3,independent,7,0.94189453125,0.9412841796875,0.882568359375,0.882568359375,0.8976534370732111,0.51953125,0.51629638671875,0.0325927734375,0.0555419921875,0.05649132971899185,0.50146484375,0.502685546875,0.00537109375,0.045084635416666664,0.045855233207797046,0.53515625,0.50244140625,1.0,0.493408203125,0.46484375,0.51025390625,0.51611328125,-0.02490234375,0.500244140625,0.4931640625,-0.034912109375,0.55908203125,0.493896484375,1.0,0.5078125,0.44091796875,0.772705078125,0.51220703125,0.213623046875,0.510498046875,0.507080078125,-0.048583984375,0.57470703125,0.5068359375,0.998046875,0.50244140625,0.42333984375,0.732666015625,0.510986328125,0.157958984375,0.5185546875,0.50390625,-0.05615234375,0.94189453125,1.0,1.0,0.94189453125,1.0,15,00001111,pure_P,pure_P,P,1,1,pure_P,0,0.076171875,0.462644035927564,0.07421875,0.4629616172472867,0.13671875,0.4722288518331239,0.150390625,0.4727357204615217,0.990234375,0.5738624968606723,0.986328125,0.5738367491956087,0.99609375,0.5841460157983327,1.0,0.5847875881693277,P,tuple:pure_P
adaptive_exploratory_posthoc_with_fresh_seed_replication,5541a56ca6cb92cb3a32,11,original,0.9,3,independent,9,0.974365234375,0.9755859375,0.951171875,0.951171875,0.9472020746383564,0.510986328125,0.50897216796875,0.0179443359375,0.0296630859375,0.029539284411848128,0.503662109375,0.5034586588541666,0.006917317708333333,0.023356119791666668,0.02325864094979537,0.53515625,0.50244140625,1.0,0.493408203125,0.46484375,0.51025390625,0.51611328125,-0.02490234375,0.500244140625,0.4931640625,-0.034912109375,0.56103515625,0.494384765625,1.0,0.5126953125,0.43896484375,0.782958984375,0.512451171875,0.221923828125,0.516357421875,0.507080078125,-0.044677734375,0.5625,0.50146484375,0.99951171875,0.50146484375,0.43701171875,0.755859375,0.51708984375,0.193359375,0.5185546875,0.508056640625,-0.0439453125,0.974365234375,1.0,1.0,0.974365234375,1.0,15,00001111,pure_P,pure_P,P,1,1,pure_P,0,0.02734375,0.43111989633979025,0.02734375,0.43125248731252636,0.044921875,0.44465649270026464,0.068359375,0.44565982795885556,0.982421875,0.5925950937227673,0.984375,0.5924925703583762,0.99609375,0.6075273579752766,1.0,0.608300932576507,P,tuple:pure_P
adaptive_exploratory_posthoc_with_fresh_seed_replication,5541a56ca6cb92cb3a32,11,original,0.9,3,independent,13,0.99365234375,0.992431640625,0.98486328125,0.98486328125,0.9796017484215639,0.5048828125,0.504638671875,0.00927734375,0.011962890625,0.011898980087421079,0.49951171875,0.5004475911458334,0.0008951822916666666,0.008544921875,0.008499271491015056,0.53515625,0.50244140625,1.0,0.493408203125,0.46484375,0.51025390625,0.51611328125,-0.02490234375,0.500244140625,0.4931640625,-0.034912109375,0.562255859375,0.490234375,1.0,0.512451171875,0.437744140625,0.80078125,0.517822265625,0.238525390625,0.517333984375,0.506103515625,-0.044921875,0.55517578125,0.498046875,1.0,0.50927734375,0.44482421875,0.809814453125,0.5146484375,0.254638671875,0.513671875,0.508056640625,-0.04150390625,0.99365234375,1.0,1.0,0.99365234375,1.0,15,00001111,pure_P,pure_P,P,1,1,pure_P,0,0.001953125,0.3487377538729862,0.00390625,0.34797414255384695,0.0078125,0.37266742727720287,0.009765625,0.3749548059396369,0.990234375,0.639719366390537,0.982421875,0.6383822586986319,1.0,0.6668937847676479,1.0,0.6680873025159157,P,tuple:pure_P
adaptive_exploratory_posthoc_with_fresh_seed_replication,5541a56ca6cb92cb3a32,11,original,0.9,3,independent,17,0.998291015625,0.998291015625,0.99658203125,0.99658203125,0.9955692858013901,0.501708984375,0.50103759765625,0.0020751953125,0.0020751953125,0.002073086459900004,0.500244140625,0.5002034505208334,0.0004069010416666667,0.0023600260416666665,0.0023576277387098083,0.53515625,0.50244140625,1.0,0.493408203125,0.46484375,0.51025390625,0.51611328125,-0.02490234375,0.500244140625,0.4931640625,-0.034912109375,0.55859375,0.491455078125,1.0,0.5107421875,0.44140625,0.81689453125,0.520263671875,0.25830078125,0.51513671875,0.50537109375,-0.04345703125,0.55712890625,0.51025390625,1.0,0.50732421875,0.44287109375,0.850341796875,0.51806640625,0.293212890625,0.510498046875,0.5009765625,-0.046630859375,0.998291015625,1.0,1.0,0.998291015625,1.0,15,00001111,pure_P,pure_P,P,1,1,pure_P,0,0.0,0.2541236565112522,0.0,0.2544078418022385,0.0,0.29275203478201395,0.001953125,0.2960631616144015,0.994140625,0.7161210612004998,0.994140625,0.7134487295363972,1.0,0.7559102052640922,1.0,0.7578014812284418,P,tuple:pure_P
