route_depth,regime,d1_duplicate_regimes_collapsed,address_reversed_branch_accuracy_estimate,address_reversed_branch_accuracy_ci_low,address_reversed_branch_accuracy_ci_high,address_reversed_branch_accuracy_n_seeds,address_reversed_branch_accuracy_n_cells,address_removed_branch_accuracy_estimate,address_removed_branch_accuracy_ci_low,address_removed_branch_accuracy_ci_high,address_removed_branch_accuracy_n_seeds,address_removed_branch_accuracy_n_cells,address_reversed_delta_estimate,address_reversed_delta_ci_low,address_reversed_delta_ci_high,address_reversed_delta_n_seeds,address_reversed_delta_n_cells,address_removed_delta_estimate,address_removed_delta_ci_low,address_removed_delta_ci_high,address_removed_delta_n_seeds,address_removed_delta_n_cells,address_reversed_abs_delta_estimate,address_reversed_abs_delta_ci_low,address_reversed_abs_delta_ci_high,address_reversed_abs_delta_n_seeds,address_reversed_abs_delta_n_cells,address_removed_abs_delta_estimate,address_removed_abs_delta_ci_low,address_removed_abs_delta_ci_high,address_removed_abs_delta_n_seeds,address_removed_abs_delta_n_cells,spillover_applicable,proxy_spillover_estimate,rule_spillover_estimate,proxy_spillover_ci_low,proxy_spillover_ci_high,proxy_spillover_n_seeds,proxy_spillover_n_cells,rule_spillover_ci_low,rule_spillover_ci_high,rule_spillover_n_seeds,rule_spillover_n_cells
1,identical_regimes_collapsed,1,0.8921041666666666,0.8671359375,0.9155083333333331,10,120,0.8830666666666666,0.8609285416666665,0.9037511458333333,10,120,0.0,0.0,0.0,10,120,-0.0090375,-0.018900208333333335,-0.0007208333333333337,10,120,0.0,0.0,0.0,10,120,0.013154166666666666,0.004716666666666666,0.022092187500000002,10,120,0,,,,,,,,,,
2,fixed_total,0,0.5685395833333334,0.55363703125,0.5817543749999999,10,120,0.6166416666666666,0.6122955208333333,0.6206252083333332,10,120,-0.08746666666666666,-0.11911729166666668,-0.06004510416666666,10,120,-0.039364583333333335,-0.05813567708333333,-0.02258484374999999,10,120,0.4121666666666667,0.40147906250000004,0.42316270833333336,10,120,0.20957708333333333,0.20261458333333332,0.21596057291666665,10,120,1,0.07200208333333333,0.07686458333333335,0.05853333333333334,0.08463567708333332,10,120,0.062186250000000005,0.09063911458333333,10,120
2,per_fork_matched,0,0.5450729166666667,0.53423703125,0.5551236979166667,10,120,0.6314,0.6257617708333333,0.6366795833333333,10,120,-0.17667916666666666,-0.2035413541666667,-0.15060229166666667,10,120,-0.09035208333333332,-0.10594385416666667,-0.07309140624999999,10,120,0.42214583333333333,0.4006205208333333,0.4448171875000001,10,120,0.21231041666666667,0.20359921875,0.22251697916666663,10,120,1,0.062049999999999994,0.0611375,0.04900604166666667,0.07395072916666667,10,120,0.04867864583333333,0.07251489583333334,10,120
4,fixed_total,0,0.5417614583333333,0.5370656250000001,0.5465816145833333,10,120,0.49111875000000005,0.4870103125,0.4954022916666666,10,120,0.19584375,0.1834019791666667,0.20655421875000002,10,120,0.14520104166666667,0.13543841145833332,0.15323192708333333,10,120,0.39633541666666666,0.3840369791666667,0.40616895833333333,10,120,0.27686145833333337,0.26627997395833336,0.2846077864583334,10,120,1,0.04700277777777778,0.052898263888888894,0.042300000000000004,0.05114048611111111,10,120,0.04793352430555555,0.057480078124999986,10,120
4,per_fork_matched,0,0.5423947916666667,0.5383101041666667,0.545958359375,10,120,0.5417833333333333,0.53730203125,0.5456042708333333,10,120,0.02459375,0.016106979166666674,0.03161713541666667,10,120,0.023982291666666673,0.016193593750000006,0.030774140625,10,120,0.39274375,0.38118265625,0.4030788541666667,10,120,0.2709697916666667,0.26405882812500003,0.27746359375,10,120,1,0.050145833333333334,0.05609791666666667,0.046279348958333334,0.05341980034722223,10,120,0.05105485243055556,0.060122977430555544,10,120
