inference_status,seed,cohort,left_count,right_count,gate_transition,stable_gate_difference,q_only_target_probability_difference,q_only_diagnostic_accuracy_difference,gate_reversals_across_all_counts,probability_reversals_across_all_counts,material_probability_reversals_across_all_counts,first_stable_gate_loss_count
adaptive_exploratory_posthoc_paired_support_intervention,67,original,6,8,0->1,1,-0.4071188671379625,-0.403,1,1,1,6
adaptive_exploratory_posthoc_paired_support_intervention,67,original,8,10,1->1,0,0.19706890852738831,0.19180000000000003,1,1,1,6
adaptive_exploratory_posthoc_paired_support_intervention,67,original,10,50,1->0,-1,0.6505541671628079,0.6727000000000001,1,1,1,6
adaptive_exploratory_posthoc_paired_support_intervention,67,original,50,100,0->0,0,0.01801996034990827,0.010199999999999987,1,1,1,6
adaptive_exploratory_posthoc_paired_support_intervention,67,original,100,250,0->0,0,0.005127759090830297,0.0029000000000000137,1,1,1,6
adaptive_exploratory_posthoc_paired_support_intervention,67,original,250,450,0->0,0,0.0005508078626317303,0.0027999999999999137,1,1,1,6
adaptive_exploratory_posthoc_paired_support_intervention,71,original,0,2,1->1,0,0.1664313959949393,0.1617,0,4,0,4
adaptive_exploratory_posthoc_paired_support_intervention,71,original,2,4,1->0,-1,0.40881495839766946,0.42999999999999994,0,4,0,4
adaptive_exploratory_posthoc_paired_support_intervention,71,original,4,6,0->0,0,-0.01179381113971345,-0.021499999999999964,0,4,0,4
adaptive_exploratory_posthoc_paired_support_intervention,71,original,6,8,0->0,0,0.164133480603189,0.1925,0,4,0,4
adaptive_exploratory_posthoc_paired_support_intervention,71,original,8,10,0->0,0,-0.009952158797780442,-0.020299999999999985,0,4,0,4
adaptive_exploratory_posthoc_paired_support_intervention,71,original,10,50,0->0,0,0.10901797307799921,0.08779999999999999,0,4,0,4
adaptive_exploratory_posthoc_paired_support_intervention,71,original,50,100,0->0,0,0.0001972678587583987,0.0,0,4,0,4
adaptive_exploratory_posthoc_paired_support_intervention,71,original,100,250,0->0,0,-2.842544772241329e-05,0.0,0,4,0,4
adaptive_exploratory_posthoc_paired_support_intervention,71,original,250,450,0->0,0,-3.46632901999655e-05,0.0,0,4,0,4
adaptive_exploratory_posthoc_paired_support_intervention,83,original,0,2,1->1,0,0.14904242673202445,0.1579,0,2,0,6
adaptive_exploratory_posthoc_paired_support_intervention,83,original,2,4,1->1,0,0.13098351479261058,0.13520000000000001,0,2,0,6
adaptive_exploratory_posthoc_paired_support_intervention,83,original,4,6,1->0,-1,0.16812836397272013,0.17920000000000003,0,2,0,6
adaptive_exploratory_posthoc_paired_support_intervention,83,original,6,8,0->0,0,0.10692453895362719,0.10259999999999991,0,2,0,6
adaptive_exploratory_posthoc_paired_support_intervention,83,original,8,10,0->0,0,-0.014083290661637937,-0.022499999999999964,0,2,0,6
adaptive_exploratory_posthoc_paired_support_intervention,83,original,10,50,0->0,0,0.3865390956965231,0.3911,0,2,0,6
adaptive_exploratory_posthoc_paired_support_intervention,83,original,50,100,0->0,0,0.00024512927238351523,0.0,0,2,0,6
adaptive_exploratory_posthoc_paired_support_intervention,83,original,100,250,0->0,0,2.003586072241159e-05,0.0,0,2,0,6
adaptive_exploratory_posthoc_paired_support_intervention,83,original,250,450,0->0,0,-0.0002047242092202417,0.0,0,2,0,6
adaptive_exploratory_posthoc_paired_support_intervention,97,original,0,2,1->1,0,0.05464895055345448,0.037500000000000006,0,5,3,6
adaptive_exploratory_posthoc_paired_support_intervention,97,original,2,4,1->1,0,-0.13687187667119993,-0.1225,0,5,3,6
adaptive_exploratory_posthoc_paired_support_intervention,97,original,4,6,1->0,-1,0.7331907680751577,0.7707999999999999,0,5,3,6
adaptive_exploratory_posthoc_paired_support_intervention,97,original,6,8,0->0,0,-0.06725368952357225,-0.07099999999999995,0,5,3,6
adaptive_exploratory_posthoc_paired_support_intervention,97,original,8,10,0->0,0,-0.32109696554794365,-0.3583,0,5,3,6
adaptive_exploratory_posthoc_paired_support_intervention,97,original,10,50,0->0,0,0.5663919408301976,0.5730999999999999,0,5,3,6
adaptive_exploratory_posthoc_paired_support_intervention,97,original,50,100,0->0,0,-0.0005410051849732422,0.0,0,5,3,6
adaptive_exploratory_posthoc_paired_support_intervention,97,original,100,250,0->0,0,0.0007491735868037086,0.0,0,5,3,6
adaptive_exploratory_posthoc_paired_support_intervention,97,original,250,450,0->0,0,-0.02310219156030635,-0.01429999999999998,0,5,3,6
adaptive_exploratory_posthoc_paired_support_intervention,101,original,0,2,1->0,-1,0.1480416827590197,0.14569999999999994,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,101,original,2,4,0->0,0,0.17358135001288133,0.18730000000000002,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,101,original,4,6,0->0,0,0.16461631818854494,0.16549999999999998,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,101,original,6,8,0->0,0,-0.21136172542341392,-0.2277,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,101,original,8,10,0->0,0,0.17405743648170835,0.1816000000000001,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,101,original,10,50,0->0,0,0.17347474129098706,0.17279999999999995,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,101,original,50,100,0->0,0,0.002632697053811972,-9.999999999998899e-05,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,101,original,100,250,0->0,0,-4.0226664431264325e-05,9.999999999998899e-05,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,101,original,250,450,0->0,0,-0.016773240367490838,-0.018100000000000005,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,103,fresh,0,2,1->1,0,-0.08274687635807257,-0.09350000000000001,0,4,3,8
adaptive_exploratory_posthoc_paired_support_intervention,103,fresh,2,4,1->1,0,0.22760424977253435,0.23900000000000005,0,4,3,8
adaptive_exploratory_posthoc_paired_support_intervention,103,fresh,4,6,1->1,0,-0.0666639340602086,-0.07440000000000002,0,4,3,8
adaptive_exploratory_posthoc_paired_support_intervention,103,fresh,6,8,1->0,-1,0.5595625671546507,0.5866,0,4,3,8
adaptive_exploratory_posthoc_paired_support_intervention,103,fresh,8,10,0->0,0,-0.3619739991130013,-0.38709999999999994,0,4,3,8
adaptive_exploratory_posthoc_paired_support_intervention,103,fresh,10,50,0->0,0,0.4957990527483198,0.5087999999999999,0,4,3,8
adaptive_exploratory_posthoc_paired_support_intervention,103,fresh,50,100,0->0,0,0.03818635887175814,0.040000000000000036,0,4,3,8
adaptive_exploratory_posthoc_paired_support_intervention,103,fresh,100,250,0->0,0,0.0163080560074208,0.010199999999999987,0,4,3,8
adaptive_exploratory_posthoc_paired_support_intervention,103,fresh,250,450,0->0,0,-0.007054414495887507,-0.0033999999999999586,0,4,3,8
adaptive_exploratory_posthoc_paired_support_intervention,107,fresh,0,2,1->1,0,0.3482818799018166,0.3611,0,3,1,6
adaptive_exploratory_posthoc_paired_support_intervention,107,fresh,2,4,1->1,0,-0.01552852593817311,-0.019100000000000006,0,3,1,6
adaptive_exploratory_posthoc_paired_support_intervention,107,fresh,4,6,1->0,-1,0.20424756141892075,0.20510000000000006,0,3,1,6
adaptive_exploratory_posthoc_paired_support_intervention,107,fresh,6,8,0->0,0,0.05534694642745852,0.0411999999999999,0,3,1,6
adaptive_exploratory_posthoc_paired_support_intervention,107,fresh,8,10,0->0,0,0.16718667858141323,0.1705000000000001,0,3,1,6
adaptive_exploratory_posthoc_paired_support_intervention,107,fresh,10,50,0->0,0,0.22131520962162288,0.22719999999999996,0,3,1,6
adaptive_exploratory_posthoc_paired_support_intervention,107,fresh,50,100,0->0,0,0.0002584858359191422,0.0,0,3,1,6
adaptive_exploratory_posthoc_paired_support_intervention,107,fresh,100,250,0->0,0,-5.9576947370132416e-05,0.0,0,3,1,6
adaptive_exploratory_posthoc_paired_support_intervention,107,fresh,250,450,0->0,0,-0.09857776047065703,-0.07879999999999998,0,3,1,6
adaptive_exploratory_posthoc_paired_support_intervention,109,fresh,0,2,1->1,0,0.11967187745915152,0.10800000000000001,0,1,0,6
adaptive_exploratory_posthoc_paired_support_intervention,109,fresh,2,4,1->1,0,0.12636393618556913,0.13789999999999997,0,1,0,6
adaptive_exploratory_posthoc_paired_support_intervention,109,fresh,4,6,1->0,-1,0.21535824212561272,0.2222,0,1,0,6
adaptive_exploratory_posthoc_paired_support_intervention,109,fresh,6,8,0->0,0,0.1371572574668346,0.14790000000000003,0,1,0,6
adaptive_exploratory_posthoc_paired_support_intervention,109,fresh,8,10,0->0,0,0.006738732526231472,-9.999999999998899e-05,0,1,0,6
adaptive_exploratory_posthoc_paired_support_intervention,109,fresh,10,50,0->0,0,0.3234060299287066,0.3306,0,1,0,6
adaptive_exploratory_posthoc_paired_support_intervention,109,fresh,50,100,0->0,0,0.03539323965176,0.028899999999999926,0,1,0,6
adaptive_exploratory_posthoc_paired_support_intervention,109,fresh,100,250,0->0,0,0.0014044396327979047,0.0006000000000000449,0,1,0,6
adaptive_exploratory_posthoc_paired_support_intervention,109,fresh,250,450,0->0,0,-0.0012875356408568184,-0.00039999999999995595,0,1,0,6
