run_id,seed,rule,q,width,depth,parameters,proxy_decoder_accuracy,exact_decoder_accuracy,decoder_advantage,rho_y,rho_p,iid_accuracy,single_channel_bayes,proxy_flip_rate,rule_flip_rate,proxy_probability_ate,rule_probability_ate,exact_acquisition_step,exact_acquisition_observed,exact_restricted_acquisition_step,competition_acquisition_step,competition_acquisition_observed,competition_restricted_acquisition_step
1d6cf26e6fb082daad03,83,conjunction,0.9,16,2,561,1.0,1.0,0.0,1.0,0.0,1.0,0.7633,0.0,1.0,3.4238537077284826e-05,-0.9999535955440894,64,1,64,91,1,91
1d90bab56dbb6ad2f0a4,53,majority,0.75,64,1,1153,1.0,1.0,0.0,1.0,0.0,1.0,0.6929,0.0,1.0,1.0178297417205296e-05,-0.9999772940312268,16,1,16,64,1,64
1dda48264ac0eeb00fba,11,conjunction,0.9,128,2,18817,1.0,1.0,0.0,1.0,0.0,1.0,0.7669,0.0,1.0,1.6357064178829316e-06,-0.999998241387961,16,1,16,16,1,16
1dfc8ff9e2bc93045f56,23,conjunction,0.9,32,1,577,1.0,1.0,0.0,1.0,0.0,1.0,0.7588,0.0,1.0,9.234898967552533e-05,-0.9998634352131986,91,1,91,91,1,91
1e0660a09560ce49e7ac,67,parity,0.99,16,1,289,1.0,1.0,0.0,0.0,1.0,0.99,0.5075,1.0,0.0,0.9791271821253485,-0.0006643922131446751,512,1,512,,0,4096
1e1057c021deac8442a8,37,conjunction,0.75,128,2,18817,1.0,1.0,0.0,1.0,0.0,1.0,0.7629,0.0,1.0,5.670567667725889e-07,-0.9999984288780188,1,1,1,16,1,16
1e25b04d73524b8d3752,41,parity,0.9,8,2,217,1.0,1.0,0.0,1.0,0.0,1.0,0.5018,0.0,1.0,0.015878907196386877,-0.9835896071769704,256,1,256,2048,1,2048
1e91df512813dd9a6cc5,101,conjunction,0.75,32,2,1633,1.0,1.0,0.0,1.0,0.0,1.0,0.7635,0.0,1.0,3.370084381468519e-06,-0.9999915216954856,23,1,23,45,1,45
1e9db657d7df8f030a33,83,conjunction,0.75,16,1,289,1.0,1.0,0.0,1.0,0.0,1.0,0.7633,0.0,1.0,4.8526527540921546e-05,-0.999826420638879,181,1,181,91,1,91
1f02ce5a84427c42bc0f,97,multiplexer,0.9,8,2,217,1.0,1.0,0.0,1.0,0.0,1.0,0.6239,0.0,1.0,0.0001345765128635314,-0.9998365773769241,181,1,181,512,1,512
1f4d1685195ef87e254c,11,multiplexer,0.75,128,1,2305,1.0,1.0,0.0,1.0,0.0,1.0,0.6249,0.0,1.0,3.0438260973254026e-05,-0.9999418075233065,64,1,64,181,1,181
1f4e1ca44962903afe6e,23,majority,0.99,32,2,1633,1.0,1.0,0.0,1.0,0.0,1.0,0.6909,0.0,1.0,0.0010939723955284756,-0.9989040808031739,16,1,16,256,1,256
1f537b6f410a034b3a48,71,conjunction,0.99,8,1,145,1.0,1.0,0.0,0.9894,0.0106,1.0,0.7605,0.0106,0.9894,0.023718086239591787,-0.9759853118100891,181,1,181,128,1,128
1f8097cc8b3094d19610,71,majority,0.99,32,1,577,1.0,1.0,0.0,1.0,0.0,1.0,0.6947,0.0,1.0,0.0010315409186846332,-0.9989520355806669,23,1,23,512,1,512
1fb09a851f265aca64c2,53,parity,0.75,32,2,1633,1.0,1.0,0.0,1.0,0.0,1.0,0.506,0.0,1.0,2.3374188381496952e-05,-0.9999505494722339,64,1,64,512,1,512
1fc57c1eb9041a17e865,11,parity,0.9,64,1,1153,1.0,1.0,0.0,1.0,0.0,1.0,0.5078,0.0,1.0,0.0017943444848307877,-0.997804004800578,91,1,91,1024,1,1024
1fdc90988e6a7929614e,37,parity,0.75,8,1,145,1.0,1.0,0.0,0.6329,0.3671,0.871,0.5048,0.3075,0.6678,0.281602343577971,-0.45282686794453386,2896,1,2896,,0,4096
1fdeb84e8e39aad122bc,71,majority,0.9,32,2,1633,1.0,1.0,0.0,1.0,0.0,1.0,0.6947,0.0,1.0,4.541705945330432e-06,-0.9999941030872708,32,1,32,64,1,64
2051d41b6fdc79d38e4e,71,majority,0.99,8,1,145,1.0,1.0,0.0,1.0,0.0,1.0,0.6947,0.0,1.0,0.0019447860418259643,-0.9980177193619755,64,1,64,256,1,256
20d1868cd198018d5f89,53,majority,0.9,32,2,1633,1.0,1.0,0.0,1.0,0.0,1.0,0.6929,0.0,1.0,4.737794918696625e-06,-0.9999943338896977,11,1,11,64,1,64
2144e60fe2ba9a3d6370,23,parity,0.99,8,2,217,1.0,1.0,0.0,0.0,1.0,0.99,0.508,1.0,0.0,0.9775142455838676,4.276355106330851e-05,512,1,512,,0,4096
2151485c7b9ac5fbe1b8,41,conjunction,0.9,128,1,2305,1.0,1.0,0.0,1.0,0.0,1.0,0.7635,0.0,1.0,3.7831265998175415e-05,-0.9999422050894217,45,1,45,32,1,32
216dbb7619d8f60dd8fc,37,multiplexer,0.99,16,1,289,1.0,1.0,0.0,0.9543,0.0457,0.99975,0.6299,0.0457,0.9543,0.0838588239086143,-0.9159228954957209,181,1,181,,0,4096
21e535c4f8df830a0236,101,multiplexer,0.99,16,2,561,1.0,1.0,0.0,0.9291,0.0709,0.99925,0.6318,0.0709,0.9291,0.08121342863800766,-0.9187789690385864,128,1,128,2048,1,2048
2251ac3c8e536e85bba0,11,multiplexer,0.75,64,2,5313,1.0,1.0,0.0,1.0,0.0,1.0,0.6249,0.0,1.0,3.786893596141183e-06,-0.9999935567587287,45,1,45,91,1,91
226768f25c8aac54bc39,37,parity,0.75,32,2,1633,1.0,1.0,0.0,1.0,0.0,1.0,0.5048,0.0,1.0,1.6165802660863893e-05,-0.999967472258192,64,1,64,512,1,512
22679a1a6947c7bf485e,37,majority,0.75,8,1,145,1.0,1.0,0.0,1.0,0.0,1.0,0.6962,0.0,1.0,2.4247863713373365e-05,-0.9999450915723315,128,1,128,128,1,128
227e0031385189d42091,97,majority,0.75,16,2,561,1.0,1.0,0.0,1.0,0.0,1.0,0.6936,0.0,1.0,8.681490097097622e-07,-0.9999978487340928,45,1,45,91,1,91
22bf48e43d6f6601f45d,67,majority,0.99,16,1,289,1.0,1.0,0.0,1.0,0.0,1.0,0.689,0.0,1.0,0.0010471431882786036,-0.9989301088105738,45,1,45,512,1,512
22f9872d99d2d928f4b1,41,majority,0.9,8,2,217,1.0,1.0,0.0,1.0,0.0,1.0,0.6949,0.0,1.0,2.71360553498991e-05,-0.9999634259417799,64,1,64,128,1,128
2303586d05c7f4ba956f,37,conjunction,0.9,128,2,18817,1.0,1.0,0.0,1.0,0.0,1.0,0.7629,0.0,1.0,4.648763085455065e-06,-0.9999945587937722,1,1,1,23,1,23
2342cc1290cf7e53212f,11,parity,0.9,64,2,5313,1.0,1.0,0.0,1.0,0.0,1.0,0.5078,0.0,1.0,0.00010580816483418162,-0.9998797710258361,64,1,64,512,1,512
236413ecf3fa855b6617,23,conjunction,0.75,32,1,577,1.0,1.0,0.0,1.0,0.0,1.0,0.7588,0.0,1.0,2.9744114382052476e-05,-0.9999115005328053,91,1,91,91,1,91
