seed,branch,local_step,global_step,eligible_intersection,target_accuracy,boolean_signature,behavior_P,causal_P,selective_P,control_P,behavior_Q,causal_Q,selective_Q,control_Q,behavior_Y,causal_Y,selective_Y,control_Y
409,independent_noop,0,45,True,0.500244140625,00001111,0.996826171875,0.9967041015625,0.405029296875,0.99676513671875,0.503173828125,0.5028076171875,0.384765625,0.50299072265625,0.500244140625,0.5001220703125,-0.047607421875,0.50018310546875
409,independent_noop,1,46,True,0.5009765625,00001111,0.99560546875,0.9949951171875,0.40625,0.99530029296875,0.50439453125,0.5045166015625,0.390380859375,0.50445556640625,0.5009765625,0.5009358723958334,-0.04736328125,0.5009562174479167
409,independent_noop,2,47,True,0.50146484375,00001111,0.98876953125,0.9892578125,0.402099609375,0.989013671875,0.5107421875,0.5096435546875,0.387451171875,0.51019287109375,0.50146484375,0.501220703125,-0.0498046875,0.5013427734375
409,independent_noop,3,48,True,0.505126953125,00001111,0.977783203125,0.9786376953125,0.399169921875,0.97821044921875,0.520751953125,0.5196533203125,0.38818359375,0.52020263671875,0.505126953125,0.5038248697916666,-0.051513671875,0.5044759114583333
409,independent_noop,4,49,True,0.5048828125,00001111,0.95654296875,0.956787109375,0.40234375,0.9566650390625,0.54150390625,0.53955078125,0.394287109375,0.54052734375,0.5048828125,0.5052490234375,-0.046142578125,0.50506591796875
409,independent_noop,5,50,True,0.509033203125,00001111,0.926513671875,0.9248046875,0.404296875,0.9256591796875,0.571044921875,0.57012939453125,0.397216796875,0.570587158203125,0.509033203125,0.5084228515625,-0.034912109375,0.50872802734375
409,independent_noop,7,52,True,0.512939453125,00001111,0.872802734375,0.8692626953125,0.40576171875,0.87103271484375,0.620849609375,0.62493896484375,0.40087890625,0.622894287109375,0.512939453125,0.5128987630208334,-0.02685546875,0.5129191080729167
409,independent_noop,9,54,True,0.51220703125,00111111,0.7958984375,0.7945556640625,0.39990234375,0.79522705078125,0.69775390625,0.70013427734375,0.396728515625,0.698944091796875,0.51220703125,0.515869140625,-0.025390625,0.5140380859375
409,independent_noop,13,58,True,0.509521484375,00110011,0.624267578125,0.6253662109375,0.396484375,0.62481689453125,0.870361328125,0.8681640625,0.3955078125,0.8692626953125,0.509521484375,0.509765625,-0.0205078125,0.5096435546875
409,independent_noop,17,62,True,0.51220703125,00110011,0.54345703125,0.5423583984375,0.384033203125,0.54290771484375,0.947265625,0.94677734375,0.383544921875,0.947021484375,0.51220703125,0.509521484375,-0.024658203125,0.5108642578125
409,independent_noop,24,69,True,0.505859375,00110011,0.5,0.50146484375,0.383056640625,0.500732421875,0.98681640625,0.98626708984375,0.38330078125,0.986541748046875,0.505859375,0.5061442057291666,-0.0185546875,0.5060017903645833
409,independent_noop,33,78,True,0.50146484375,00110011,0.5,0.49951171875,0.379638671875,0.499755859375,0.998046875,0.99786376953125,0.3798828125,0.997955322265625,0.50146484375,0.5016276041666666,-0.00390625,0.5015462239583333
409,independent_noop,45,90,True,0.5,00110011,0.5,0.5,0.368896484375,0.5,1.0,0.99993896484375,0.369384765625,0.999969482421875,0.5,0.5,-0.004638671875,0.5
409,independent_noop,62,107,True,0.5,00110011,0.5,0.5,0.360107421875,0.5,1.0,1.0,0.360595703125,1.0,0.5,0.5,0.01171875,0.5
409,independent_noop,85,130,True,0.513671875,00110011,0.50244140625,0.5037841796875,0.34521484375,0.50311279296875,0.986328125,0.98590087890625,0.345703125,0.986114501953125,0.513671875,0.51318359375,0.007080078125,0.513427734375
409,independent_noop,117,162,True,0.52880859375,00110011,0.4990234375,0.5010986328125,0.349609375,0.50006103515625,0.97119140625,0.969970703125,0.349853515625,0.9705810546875,0.52880859375,0.5287272135416666,0.082763671875,0.5287679036458333
409,independent_noop,128,173,True,0.545654296875,00110011,0.503173828125,0.5018310546875,0.33935546875,0.50250244140625,0.954345703125,0.9549560546875,0.339599609375,0.95465087890625,0.545654296875,0.544677734375,0.107666015625,0.545166015625
409,independent_noop,161,206,True,0.592529296875,00110011,0.497802734375,0.4925537109375,0.319580078125,0.49517822265625,0.905029296875,0.90753173828125,0.31982421875,0.906280517578125,0.592529296875,0.5902099609375,0.24365234375,0.59136962890625
409,independent_noop,222,267,True,0.9990234375,01010101,0.49951171875,0.5001220703125,0.33349609375,0.49981689453125,0.5009765625,0.500732421875,0.332763671875,0.5008544921875,0.9990234375,0.9989420572916667,0.333984375,0.9989827473958334
409,independent_noop,304,349,True,1.0,01010101,0.5,0.5,0.3330078125,0.5,0.5,0.5,0.33203125,0.5,1.0,1.0,0.333251953125,1.0
409,independent_noop,418,463,True,1.0,01010101,0.5,0.5,0.331298828125,0.5,0.5,0.5,0.330322265625,0.5,1.0,1.0,0.33154296875,1.0
409,independent_noop,575,620,True,1.0,01010101,0.5,0.5,0.331298828125,0.5,0.5,0.5,0.330078125,0.5,1.0,1.0,0.33154296875,1.0
409,independent_noop,790,835,True,1.0,01010101,0.5,0.5,0.333984375,0.5,0.5,0.5,0.332763671875,0.5,1.0,1.0,0.334228515625,1.0
409,independent_noop,1024,1069,True,1.0,01010101,0.5,0.5,0.330322265625,0.5,0.5,0.5,0.3291015625,0.5,1.0,1.0,0.33056640625,1.0
409,independent_q_restore,0,45,True,0.5,00001111,1.0,1.0,0.41943359375,1.0,0.5,0.5,0.30615234375,0.5,0.5,0.5,-0.020263671875,0.5
409,independent_q_restore,1,46,True,0.5,00001111,1.0,1.0,0.41455078125,1.0,0.5,0.5,0.314208984375,0.5,0.5,0.5,-0.0166015625,0.5
409,independent_q_restore,2,47,True,0.499755859375,00001111,0.999267578125,0.999267578125,0.41015625,0.999267578125,0.500732421875,0.500732421875,0.31396484375,0.500732421875,0.499755859375,0.499755859375,-0.019287109375,0.499755859375
409,independent_q_restore,3,48,True,0.500732421875,00001111,0.997802734375,0.9974365234375,0.406982421875,0.99761962890625,0.501708984375,0.50213623046875,0.318115234375,0.501922607421875,0.500732421875,0.5004475911458334,-0.01904296875,0.5005900065104167
409,independent_q_restore,4,49,True,0.50244140625,00001111,0.99169921875,0.9912109375,0.40771484375,0.991455078125,0.50634765625,0.5048828125,0.32568359375,0.505615234375,0.50244140625,0.50146484375,-0.0166015625,0.501953125
409,independent_q_restore,5,50,True,0.504638671875,00001111,0.980712890625,0.9810791015625,0.405517578125,0.98089599609375,0.512939453125,0.5106201171875,0.332763671875,0.51177978515625,0.504638671875,0.5030924479166666,-0.0146484375,0.5038655598958333
409,independent_q_restore,7,52,True,0.505615234375,00001111,0.953857421875,0.9537353515625,0.4111328125,0.95379638671875,0.531982421875,0.52960205078125,0.35302734375,0.530792236328125,0.505615234375,0.5056559244791666,-0.004150390625,0.5056355794270833
409,independent_q_restore,9,54,True,0.510986328125,00001111,0.930419921875,0.928955078125,0.412353515625,0.9296875,0.551025390625,0.54827880859375,0.36328125,0.549652099609375,0.510986328125,0.5115966796875,-0.001708984375,0.51129150390625
