run_id,seed,q_p,q_q,k_q,k_y,width,overlap,error_phi,calibration_p,calibration_q,calibration_y,iid_accuracy,both_wrong_accuracy,p_wrong_accuracy,q_wrong_accuracy,mixture_weight_p,mixture_weight_q,mixture_weight_y,mixture_weight_sum,mixture_closure_error,mixture_closure_abs,mixture_tolerance,static_mixture_compatible,influence_p,influence_q,influence_y,share_p,share_q,share_y,diagnostic_winner,diagnostic_distance,diagnostic_margin,causal_winner,diagnostic_causal_agree,pure_goal_selection,selected_goal
df90c9582d126fd66199,71,0.99,0.9,2,3,16,nested,0.30151134457776363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05,1,0.0,0.0,1.0,0.0,0.0,1.0,Y,0.0,0.816496580927726,Y,1,1,Y
dfdcb52fd656db9edaf2,53,0.9,0.95,2,3,16,nested,0.6882472016116853,1.0,1.0,1.0,1.0,1.0,1.0,0.7313,-0.26870000000000005,0.0,1.0,0.7313,-0.26870000000000005,0.26870000000000005,0.05,0,0.18176666666666666,0.08956666666666667,0.8215888888888889,0.1663125362178868,0.08195154682146744,0.7517359169606459,Y,0.15513401733125248,0.5601281001240666,Y,1,0,mixture_or_unresolved
e0c7d75105be6f66d90f,97,0.99,0.99,2,3,16,independent,0.0,1.0,1.0,1.0,0.98875,0.0,0.5021,0.495,0.495,0.5021,0.0,0.9971,-0.0029000000000000137,0.0029000000000000137,0.05,1,0.4966333333333333,0.5012,0.08012222222222222,0.4607178197410736,0.46495423435309635,0.07432794590582996,Q,0.4053514565575574,0.005797101346598055,Q,1,0,mixture_or_unresolved
e0e9502ae5b401ffab20,37,0.9,0.95,3,3,64,nested,0.6882472016116853,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05,1,0.0,0.0,1.0,0.0,0.0,1.0,Y,0.0,0.816496580927726,Y,1,1,Y
e10c1e512efe736739c9,101,0.99,0.9,3,5,16,nested,0.30151134457776363,1.0,1.0,1.0,0.99,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.05,1,1.0,2.2222222222222223e-05,1.3333333333333335e-05,0.999964445708597,2.2221432126857713e-05,1.3332859276114628e-05,P,0.0,0.816496580927726,P,1,1,P
e15df0eaeb61a3dcf2ad,23,0.9,0.95,3,5,64,nested,0.6882472016116853,1.0,1.0,1.0,1.0,0.9898,1.0,0.2622,-0.7276,0.010199999999999987,0.9898,0.2724,-0.7276,0.7276,0.05,0,0.4867333333333333,0.25272222222222224,0.5038666666666667,0.3914780292942743,0.20326365740533875,0.405258313300387,Y,0.4260097338481051,0.16516223210878406,Y,1,0,mixture_or_unresolved
e1d1aec0e04413aa9f02,53,0.9,0.9,3,5,64,independent,-1.9274705288631186e-17,1.0,1.0,1.0,1.0,0.9851,1.0,1.0,0.014900000000000024,0.014900000000000024,0.9851,1.0149,0.014899999999999913,0.014899999999999913,0.05,1,0.010033333333333333,0.010533333333333336,0.9950333333333333,0.009879217539713797,0.010371537350662992,0.9797492451096231,Y,0.008602519010925439,0.8018339909432268,Y,1,1,Y
e1f5e5206db37b223456,23,0.9,0.95,2,5,16,nested,0.6882472016116853,1.0,1.0,1.0,0.95,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.05,1,0.0,1.0,0.0,0.0,1.0,0.0,Q,0.0,0.816496580927726,Q,1,1,Q
e2080fed9ed9542828b3,67,0.9,0.95,2,3,16,nested,0.6882472016116853,1.0,1.0,1.0,1.0,1.0,1.0,0.8594,-0.14059999999999995,0.0,1.0,0.8594,-0.14059999999999995,0.14059999999999995,0.05,0,0.09143333333333334,0.04686666666666667,0.9075888888888889,0.08742165090831829,0.04481036863911612,0.8677679804525656,Y,0.08117544784806136,0.6800884923636543,Y,1,0,mixture_or_unresolved
e25e79ce3187eba6fcca,67,0.9,0.95,2,5,64,nested,0.6882472016116853,1.0,1.0,1.0,0.99675,0.9652,1.0,0.0,-0.9652,0.03480000000000005,0.9652,0.03480000000000005,-0.9652,0.9652,0.05,0,0.6447333333333333,0.3568,0.3217333333333333,0.487228575746889,0.26963574991183437,0.24313567434127664,Q,0.5572584798218267,0.02044128072281237,P,0,0,mixture_or_unresolved
