overlap,k_y,mixture_weight_p_estimate,mixture_weight_p_ci_low,mixture_weight_p_ci_high,mixture_weight_p_n_seeds,mixture_weight_p_n_cells,mixture_weight_q_estimate,mixture_weight_q_ci_low,mixture_weight_q_ci_high,mixture_weight_q_n_seeds,mixture_weight_q_n_cells,mixture_weight_y_estimate,mixture_weight_y_ci_low,mixture_weight_y_ci_high,mixture_weight_y_n_seeds,mixture_weight_y_n_cells,mixture_closure_error_estimate,mixture_closure_error_ci_low,mixture_closure_error_ci_high,mixture_closure_error_n_seeds,mixture_closure_error_n_cells,mixture_closure_abs_estimate,mixture_closure_abs_ci_low,mixture_closure_abs_ci_high,mixture_closure_abs_n_seeds,mixture_closure_abs_n_cells,static_mixture_compatible_estimate,static_mixture_compatible_ci_low,static_mixture_compatible_ci_high,static_mixture_compatible_n_seeds,static_mixture_compatible_n_cells
independent,3,0.3366729166666667,0.2946403020833333,0.380223875,10,240,0.28662875,0.25460205208333336,0.3209329270833333,10,240,0.6020329166666667,0.5491309583333334,0.6566021041666666,10,240,0.22533458333333334,0.19459661458333335,0.25953280208333335,10,240,0.22550375000000003,0.19572828125,0.2601475625,10,240,0.5,0.4375,0.5541666666666668,10,240
independent,5,0.5365145833333334,0.5249164062499999,0.5498795937500001,10,240,0.4103245833333333,0.39696061458333337,0.42215121875000006,10,240,0.13553166666666666,0.11628427083333333,0.15903877083333334,10,240,0.08237083333333332,0.06487898958333334,0.10165467708333334,10,240,0.083155,0.0653406875,0.10187976041666667,10,240,0.7333333333333333,0.6708333333333334,0.7875,10,240
nested,3,-0.06288125,-0.07665415625,-0.04749376041666667,10,240,0.007695833333333332,-0.001655499999999999,0.019697416666666665,10,240,0.9736166666666666,0.9606363437500002,0.9835301354166667,10,240,-0.08156875,-0.09680859374999999,-0.06498604166666666,10,240,0.08720791666666668,0.07044971874999999,0.10308403125,10,240,0.8458333333333332,0.8166666666666667,0.875,10,240
nested,5,0.4105808333333333,0.38911543750000005,0.43333249999999995,10,240,0.20027208333333335,0.18171235416666667,0.21813908333333337,10,240,0.2815691666666667,0.2530525833333333,0.31091601041666667,10,240,-0.10757791666666665,-0.12758969791666663,-0.08966784374999999,10,240,0.11026708333333332,0.09216413541666665,0.12927416666666663,10,240,0.7916666666666666,0.7541666666666667,0.8291666666666666,10,240
