mode,k,total,trainable,decoder,behavior,crossed
head_only,1,3713,33,1.0,0.8797,True
head_only,4,1089,17,0.43975,0.1339,False
subspace,4,51713,1,0.5,0.5041,False
full,4,2177,2177,1.0,1.0,True
full,4,137,137,1.0,1.0,True
full,3,5249,5249,1.0,1.0,True
full,2,2177,2177,1.0,1.0,True
full,1,1089,1089,1.0,1.0,True
head_only,3,1089,65,1.0,0.0001,True
full,3,353,353,1.0,1.0,True
subspace,3,51713,1024,1.0,1.0,True
head_only,5,1089,17,0.49,0.3218,False
full,5,137,137,1.0,0.0,True
full,1,1089,1089,1.0,1.0,True
head_only,4,209,9,0.5,0.1848,False
full,3,353,353,1.0,1.0,True
full,5,209,209,1.0,0.0001,True
head_only,2,3713,33,0.50375,0.0242,False
full,5,5249,5249,1.0,1.0,True
full,4,18689,18689,1.0,1.0,True
head_only,1,5249,65,1.0,1.0,True
head_only,5,545,17,0.535,0.0404,False
head_only,1,273,17,1.0,0.5355,True
full,2,545,545,1.0,1.0,True
head_only,2,51713,129,1.0,0.0823,True
full,3,1601,1601,1.0,1.0,True
full,4,209,209,1.0,1.0,True
full,4,13569,13569,1.0,1.0,True
head_only,1,353,9,1.0,0.6566,True
head_only,4,545,17,0.5715,0.0013,False
subspace,2,51713,1024,1.0,1.0,True
full,1,51713,51713,1.0,1.0,True
head_only,5,51713,129,0.463,0.0,False
head_only,1,137,9,1.0,0.292,True
full,2,3713,3713,1.0,1.0,True
head_only,1,545,33,1.0,0.9972,True
head_only,3,545,33,1.0,0.0,True
head_only,5,2177,129,0.589,0.0,False
head_only,3,545,33,1.0,0.0075,True
full,3,3713,3713,1.0,1.0,True
head_only,1,209,9,1.0,0.5299,True
full,4,209,209,1.0,1.0,True
full,2,51713,51713,1.0,1.0,True
head_only,4,137,9,0.48825,0.2457,False
full,2,13569,13569,1.0,1.0,True
full,4,3713,3713,1.0,1.0,True
full,4,273,273,1.0,1.0,True
head_only,2,353,9,0.50625,0.3429,False
head_only,5,18689,129,0.4945,0.0,False
full,1,1089,1089,1.0,1.0,True
head_only,1,51713,129,1.0,0.6279,True
head_only,1,273,17,1.0,0.7061,True
head_only,2,1089,65,1.0,0.2502,True
full,3,2177,2177,1.0,1.0,True
full,5,2177,2177,1.0,1.0,True
full,3,1089,1089,1.0,1.0,True
full,4,1089,1089,1.0,1.0,True
head_only,2,5249,65,1.0,0.0,True
full,1,353,353,1.0,1.0,True
subspace,4,51713,64,1.0,0.0,True
full,3,137,137,1.0,1.0,True
full,3,13569,13569,1.0,1.0,True
head_only,3,137,9,0.37125,0.241,False
full,5,2177,2177,1.0,1.0,True
full,4,1601,1601,1.0,1.0,True
head_only,2,1089,17,0.5,0.3494,False
full,4,209,209,1.0,1.0,True
full,2,545,545,1.0,1.0,True
full,1,13569,13569,1.0,1.0,True
full,3,137,137,1.0,1.0,True
full,2,545,545,1.0,1.0,True
head_only,3,545,17,1.0,0.2518,True
head_only,3,3713,33,1.0,0.0381,True
head_only,4,1601,33,0.512,0.0344,False
full,1,18689,18689,1.0,1.0,True
full,2,51713,51713,1.0,1.0,True
head_only,3,13569,65,0.7365,0.237,False
head_only,1,545,33,1.0,0.901,True
head_only,4,545,17,0.49775,0.0002,False
head_only,5,2177,129,0.52275,0.0,False
full,4,1601,1601,1.0,1.0,True
full,4,1089,1089,1.0,1.0,True
head_only,1,1601,33,1.0,0.6736,True
full,5,1601,1601,1.0,1.0,True
head_only,5,18689,129,0.56125,0.0,False
head_only,2,5249,65,1.0,0.0,True
full,1,1089,1089,1.0,1.0,True
head_only,5,51713,129,0.5235,0.0,False
full,3,51713,51713,1.0,1.0,True
full,2,137,137,1.0,1.0,True
head_only,4,1089,65,1.0,0.0,True
subspace,5,51713,16,0.52125,0.1426,False
full,5,1601,1601,1.0,1.0,True
head_only,1,1089,17,1.0,0.6152,True
head_only,4,51713,129,0.6325,0.0,False
head_only,4,273,17,0.44575,0.0788,False
head_only,3,353,9,0.735,0.336,False
head_only,3,545,17,0.63375,0.0625,False
full,5,51713,51713,1.0,1.0,True
full,3,1601,1601,1.0,1.0,True
head_only,3,545,33,1.0,0.0038,True
full,1,545,545,1.0,1.0,True
