mode,k,total,trainable,decoder,behavior,crossed
head_only,2,18689,129,1.0,0.0,True
head_only,1,1089,17,1.0,0.5099,True
head_only,2,545,17,1.0,0.0263,True
full,1,137,137,1.0,1.0,True
subspace,1,51713,16,1.0,0.6038,True
head_only,3,2177,129,0.87325,0.0,False
full,4,545,545,1.0,1.0,True
head_only,4,2177,129,1.0,0.0,True
full,5,2177,2177,1.0,1.0,True
full,4,5249,5249,1.0,1.0,True
head_only,1,1089,65,1.0,1.0,True
head_only,3,545,33,0.619,0.0024,False
head_only,5,545,33,0.505,0.0004,False
full,2,209,209,1.0,1.0,True
full,1,51713,51713,1.0,1.0,True
full,5,1089,1089,1.0,1.0,True
head_only,5,545,33,0.48675,0.0,False
full,2,209,209,1.0,1.0,True
full,5,209,209,1.0,1.0,True
head_only,3,1601,33,0.49,0.0,False
head_only,5,5249,65,0.8705,0.0237,False
head_only,5,18689,129,0.52575,0.0,False
head_only,5,1089,65,0.963,0.0001,True
full,1,353,353,1.0,1.0,True
full,2,273,273,1.0,1.0,True
full,2,1089,1089,1.0,1.0,True
head_only,2,5249,65,1.0,0.0,True
head_only,3,137,9,0.49925,0.2862,False
head_only,3,1089,17,0.5,0.0859,False
head_only,1,2177,129,1.0,1.0,True
head_only,3,51713,129,1.0,0.1305,True
head_only,3,13569,65,1.0,0.0002,True
full,2,1089,1089,1.0,1.0,True
full,3,2177,2177,1.0,1.0,True
head_only,1,1089,65,1.0,1.0,True
head_only,2,13569,65,1.0,0.0,True
head_only,3,1089,65,0.6345,0.0,False
head_only,5,545,33,0.53,0.0019,False
head_only,3,2177,129,1.0,0.0,True
full,2,1089,1089,1.0,1.0,True
full,2,3713,3713,1.0,1.0,True
full,4,1089,1089,1.0,1.0,True
head_only,4,2177,129,1.0,0.0,True
full,5,2177,2177,1.0,1.0,True
full,5,353,353,0.9715,1.0,True
full,3,3713,3713,1.0,1.0,True
full,2,1089,1089,1.0,1.0,True
full,3,545,545,1.0,1.0,True
full,2,353,353,1.0,1.0,True
head_only,3,1601,33,0.87025,0.0,False
full,3,1601,1601,1.0,1.0,True
head_only,2,209,9,1.0,0.1668,True
full,1,1601,1601,1.0,1.0,True
head_only,4,5249,65,0.69375,0.0,False
head_only,4,137,9,0.6775,0.301,False
head_only,5,18689,129,1.0,0.0,True
full,1,273,273,1.0,1.0,True
full,1,51713,51713,1.0,1.0,True
full,5,273,273,1.0,1.0,True
full,1,5249,5249,1.0,1.0,True
head_only,2,5249,65,1.0,0.0,True
head_only,4,273,17,0.5625,0.0006,False
full,4,273,273,1.0,1.0,True
full,5,2177,2177,1.0,1.0,True
head_only,4,273,17,0.496,0.0007,False
full,1,2177,2177,1.0,1.0,True
head_only,4,353,9,0.44375,0.1588,False
full,3,137,137,1.0,1.0,True
head_only,1,2177,129,1.0,1.0,True
head_only,4,2177,129,0.63275,0.0,False
head_only,2,137,9,1.0,0.2931,True
subspace,5,51713,64,0.715,0.0001,False
full,3,51713,51713,1.0,1.0,True
full,4,51713,51713,1.0,1.0,True
head_only,3,3713,33,0.87375,0.0,False
full,1,18689,18689,1.0,1.0,True
head_only,4,3713,33,0.6435,0.1362,False
head_only,3,3713,33,0.87025,0.0,False
head_only,1,545,17,1.0,0.8555,True
head_only,4,545,33,0.87,0.0045,False
full,2,18689,18689,1.0,1.0,True
head_only,5,353,9,0.49825,0.3114,False
full,4,13569,13569,1.0,1.0,True
head_only,4,209,9,0.47775,0.2352,False
head_only,1,1601,33,1.0,0.8292,True
head_only,4,273,17,0.766,0.1297,False
head_only,4,1601,33,0.559,0.0,False
head_only,2,1089,65,1.0,0.0,True
full,3,5249,5249,1.0,1.0,True
head_only,1,18689,129,1.0,1.0,True
full,4,273,273,1.0,1.0,True
head_only,4,1089,65,1.0,0.0,True
full,2,273,273,1.0,1.0,True
head_only,3,13569,65,0.8715,0.2282,False
full,3,545,545,1.0,1.0,True
full,2,1089,1089,1.0,1.0,True
head_only,2,1089,17,0.50375,0.3084,False
head_only,5,18689,129,0.593,0.0,False
subspace,4,51713,64,1.0,0.0,True
head_only,3,1601,33,1.0,0.0,True
full,4,545,545,1.0,1.0,True
full,4,2177,2177,1.0,1.0,True
head_only,4,1089,65,0.49975,0.0,False
head_only,4,137,9,0.50625,0.1627,False
full,2,273,273,1.0,1.0,True
head_only,5,5249,65,0.77875,0.0287,False
full,3,209,209,1.0,1.0,True
subspace,1,51713,64,1.0,0.9705,True
full,4,545,545,1.0,1.0,True
head_only,5,18689,129,0.562,0.0,False
head_only,2,353,9,0.739,0.4934,False
head_only,2,51713,129,1.0,0.2862,True
full,3,2177,2177,1.0,1.0,True
head_only,5,545,33,0.857,0.0028,False
full,5,3713,3713,1.0,0.9997,True
full,5,545,545,1.0,1.0,True
head_only,4,545,33,0.549,0.0023,False
head_only,4,209,9,0.431,0.1633,False
full,1,209,209,1.0,1.0,True
head_only,2,545,17,1.0,0.0141,True
head_only,4,353,9,0.50175,0.4848,False
head_only,4,545,17,0.5035,0.0006,False
full,1,545,545,1.0,1.0,True
head_only,4,13569,65,0.642,0.0,False
head_only,5,5249,65,0.5025,0.0,False
head_only,1,51713,129,1.0,0.9995,True
head_only,3,1089,17,0.5,0.3781,False
full,4,545,545,1.0,1.0,True
full,5,5249,5249,1.0,1.0,True
full,4,545,545,1.0,1.0,True
full,1,353,353,1.0,1.0,True
full,5,18689,18689,1.0,1.0,True
full,1,1601,1601,1.0,1.0,True
full,1,545,545,1.0,1.0,True
head_only,4,1089,17,0.54625,0.272,False
full,5,545,545,1.0,0.8013,True
full,5,137,137,1.0,0.0,True
head_only,4,13569,65,0.4915,0.0,False
head_only,4,209,9,0.746,0.3374,False
subspace,2,51713,1024,1.0,1.0,True
full,5,353,353,1.0,1.0,True
head_only,1,353,9,1.0,0.6293,True
head_only,5,5249,65,0.45825,0.0,False
full,3,273,273,1.0,1.0,True
head_only,4,18689,129,0.7055,0.0,False
head_only,5,273,17,0.57775,0.0013,False
head_only,1,51713,129,1.0,1.0,True
head_only,1,209,9,1.0,0.7882,True
subspace,2,51713,256,1.0,0.9953,True
full,5,5249,5249,1.0,1.0,True
head_only,4,3713,33,0.5015,0.0512,False
head_only,2,1089,65,1.0,0.2285,True
full,2,5249,5249,1.0,1.0,True
subspace,4,51713,256,1.0,0.0,True
head_only,1,273,17,1.0,0.9189,True
head_only,2,353,9,0.499,0.321,False
full,4,1089,1089,1.0,1.0,True
full,3,3713,3713,1.0,1.0,True
full,5,545,545,1.0,1.0,True
head_only,3,5249,65,1.0,0.0002,True
full,5,209,209,1.0,0.0,True
head_only,5,209,9,0.49325,0.1765,False
head_only,5,545,33,0.75875,0.0127,False
head_only,5,137,9,0.6225,0.2379,False
head_only,3,13569,65,0.74925,0.1093,False
head_only,5,2177,129,0.5345,0.0,False
full,5,3713,3713,1.0,1.0,True
full,4,1089,1089,1.0,1.0,True
head_only,3,2177,129,1.0,0.0,True
full,3,2177,2177,1.0,1.0,True
full,4,137,137,1.0,1.0,True
full,3,353,353,1.0,1.0,True
head_only,2,137,9,1.0,0.2004,True
full,2,51713,51713,1.0,1.0,True
full,4,1089,1089,1.0,1.0,True
head_only,4,5249,65,0.56575,0.0,False
head_only,2,1601,33,1.0,0.0265,True
head_only,1,137,9,1.0,0.4667,True
full,3,1089,1089,1.0,1.0,True
head_only,3,3713,33,1.0,0.0286,True
head_only,1,3713,33,1.0,1.0,True
full,5,3713,3713,1.0,1.0,True
head_only,4,545,17,0.4525,0.1617,False
full,4,273,273,1.0,1.0,True
head_only,4,51713,129,1.0,0.0966,True
head_only,5,2177,129,0.54575,0.0,False
head_only,5,545,17,0.47025,0.1568,False
head_only,2,1601,33,1.0,0.0818,True
full,4,2177,2177,1.0,1.0,True
full,2,1089,1089,1.0,1.0,True
full,3,51713,51713,1.0,1.0,True
head_only,3,18689,129,1.0,0.0,True
full,2,209,209,1.0,1.0,True
full,4,51713,51713,1.0,1.0,True
full,4,209,209,1.0,1.0,True
head_only,2,209,9,0.745,0.2992,False
full,2,209,209,1.0,1.0,True
head_only,3,545,33,1.0,0.0214,True
head_only,2,209,9,0.75,0.2129,False
head_only,3,273,17,0.74,0.0153,False
head_only,1,545,33,1.0,1.0,True
full,2,273,273,1.0,1.0,True
full,1,353,353,1.0,1.0,True
head_only,2,51713,129,1.0,0.2016,True
full,1,1601,1601,1.0,1.0,True
full,2,51713,51713,1.0,1.0,True
subspace,2,51713,64,1.0,0.1395,True
full,4,13569,13569,1.0,1.0,True
full,2,273,273,1.0,1.0,True
head_only,5,18689,129,0.5195,0.0,False
head_only,1,51713,129,1.0,1.0,True
head_only,3,51713,129,1.0,0.0,True
head_only,1,13569,65,1.0,0.486,True
head_only,3,353,9,0.7485,0.2743,False
full,4,209,209,1.0,1.0,True
head_only,1,1089,65,1.0,1.0,True
head_only,5,137,9,0.4955,0.0886,False
head_only,1,5249,65,1.0,0.9565,True
full,4,137,137,1.0,1.0,True
head_only,1,353,9,1.0,0.5648,True
full,5,545,545,1.0,1.0,True
head_only,2,1601,33,1.0,0.1566,True
head_only,2,545,33,1.0,0.0881,True
full,2,5249,5249,1.0,1.0,True
full,1,545,545,1.0,1.0,True
head_only,1,3713,33,1.0,0.7752,True
head_only,4,3713,33,0.47775,0.0,False
head_only,2,3713,33,1.0,0.0,True
full,5,1089,1089,1.0,1.0,True
subspace,5,51713,64,0.7825,0.0001,False
full,5,273,273,1.0,0.0,True
full,5,51713,51713,1.0,1.0,True
full,4,2177,2177,1.0,1.0,True
head_only,1,273,17,1.0,0.9998,True
head_only,4,137,9,0.62525,0.1439,False
full,3,545,545,1.0,1.0,True
head_only,3,545,17,0.61925,0.21,False
head_only,1,137,9,1.0,0.6301,True
head_only,4,545,33,0.5705,0.0,False
head_only,2,13569,65,1.0,0.0551,True
head_only,2,273,17,1.0,0.1511,True
head_only,1,1089,17,1.0,0.8162,True
head_only,2,209,9,0.5045,0.052,False
full,3,18689,18689,1.0,1.0,True
head_only,3,137,9,0.62625,0.1848,False
full,5,1089,1089,1.0,1.0,True
full,1,353,353,1.0,1.0,True
head_only,3,353,9,0.38075,0.3202,False
full,3,1089,1089,1.0,1.0,True
full,3,1089,1089,1.0,1.0,True
full,3,13569,13569,1.0,1.0,True
head_only,1,18689,129,1.0,1.0,True
full,5,545,545,1.0,1.0,True
full,3,18689,18689,1.0,1.0,True
full,1,545,545,1.0,1.0,True
full,4,273,273,1.0,1.0,True
full,2,137,137,1.0,1.0,True
full,5,51713,51713,1.0,1.0,True
head_only,4,1601,33,0.616,0.0,False
subspace,5,51713,1024,1.0,0.4268,True
full,1,3713,3713,1.0,1.0,True
full,3,5249,5249,1.0,1.0,True
full,5,18689,18689,1.0,1.0,True
full,1,1601,1601,1.0,1.0,True
head_only,5,1601,33,0.47025,0.0011,False
full,2,353,353,1.0,1.0,True
head_only,5,545,17,0.474,0.0375,False
head_only,1,51713,129,1.0,1.0,True
head_only,5,209,9,0.4925,0.1894,False
head_only,4,209,9,0.5705,0.2279,False
full,4,1089,1089,1.0,1.0,True
full,3,137,137,1.0,1.0,True
head_only,2,13569,65,0.75,0.1869,False
head_only,5,137,9,0.5355,0.1001,False
head_only,5,137,9,0.4995,0.1374,False
head_only,3,5249,65,1.0,0.0,True
full,3,137,137,1.0,1.0,True
full,3,273,273,1.0,1.0,True
head_only,4,18689,129,1.0,0.0001,True
full,2,1089,1089,1.0,1.0,True
head_only,2,209,9,1.0,0.1874,True
full,5,1601,1601,1.0,1.0,True
head_only,2,545,17,1.0,0.061,True
head_only,3,51713,129,1.0,0.0,True
head_only,5,18689,129,1.0,0.0,True
subspace,4,51713,16,0.739,0.1364,False
head_only,5,1089,65,0.97,0.0,True
full,4,18689,18689,1.0,1.0,True
head_only,2,5249,65,1.0,0.3799,True
head_only,1,137,9,1.0,0.6612,True
head_only,1,13569,65,1.0,1.0,True
head_only,1,209,9,1.0,0.5818,True
subspace,1,51713,1,0.5,0.5162,False
head_only,5,1089,65,0.53925,0.0,False
head_only,4,137,9,0.80825,0.2715,False
full,4,137,137,1.0,1.0,True
full,1,273,273,1.0,1.0,True
head_only,2,545,33,1.0,0.056,True
head_only,4,18689,129,1.0,0.0014,True
full,5,209,209,1.0,1.0,True
full,4,51713,51713,1.0,1.0,True
full,1,137,137,1.0,1.0,True
full,2,353,353,1.0,1.0,True
head_only,2,209,9,0.739,0.3602,False
full,5,137,137,1.0,0.0,True
full,2,18689,18689,1.0,1.0,True
head_only,2,1089,17,1.0,0.0711,True
head_only,3,137,9,0.61875,0.2604,False
full,5,2177,2177,1.0,1.0,True
head_only,3,273,17,0.24725,0.0319,False
head_only,5,1089,65,0.93225,0.0001,False
head_only,1,353,9,1.0,0.4991,True
full,5,545,545,1.0,1.0,True
head_only,1,545,17,1.0,0.7315,True
head_only,1,545,33,1.0,1.0,True
head_only,1,3713,33,1.0,0.5823,True
full,3,3713,3713,1.0,1.0,True
head_only,2,18689,129,1.0,0.0,True
full,5,1089,1089,1.0,1.0,True
head_only,2,545,33,1.0,0.0,True
full,4,545,545,1.0,1.0,True
head_only,4,18689,129,0.4455,0.0,False
full,5,1601,1601,1.0,1.0,True
full,1,273,273,1.0,1.0,True
full,4,3713,3713,1.0,1.0,True
full,5,545,545,1.0,1.0,True
full,3,545,545,1.0,1.0,True
head_only,3,2177,129,1.0,0.0,True
full,5,273,273,1.0,0.9623,True
head_only,1,353,9,1.0,0.6413,True
head_only,1,353,9,1.0,0.6153,True
full,1,3713,3713,1.0,1.0,True
full,2,1601,1601,1.0,1.0,True
full,3,1089,1089,1.0,1.0,True
full,3,2177,2177,1.0,1.0,True
full,1,2177,2177,1.0,1.0,True
head_only,2,3713,33,1.0,0.2562,True
full,1,3713,3713,1.0,1.0,True
head_only,1,13569,65,1.0,0.5168,True
full,4,13569,13569,1.0,1.0,True
head_only,3,545,33,1.0,0.0163,True
subspace,3,51713,16,0.62625,0.0795,False
head_only,1,273,17,1.0,0.8585,True
head_only,2,2177,129,1.0,0.0016,True
full,2,353,353,1.0,1.0,True
full,3,545,545,1.0,1.0,True
full,1,353,353,1.0,1.0,True
full,3,545,545,1.0,1.0,True
full,3,3713,3713,1.0,1.0,True
full,4,209,209,1.0,1.0,True
head_only,5,545,17,0.63425,0.2399,False
head_only,3,137,9,0.87975,0.2663,False
full,1,545,545,1.0,1.0,True
head_only,3,1089,17,0.871,0.1453,False
subspace,2,51713,64,1.0,0.1968,True
full,4,1089,1089,1.0,1.0,True
full,2,273,273,1.0,1.0,True
head_only,1,1089,65,1.0,1.0,True
head_only,2,1089,17,0.25075,0.3954,False
head_only,1,5249,65,1.0,1.0,True
head_only,3,51713,129,0.38375,0.0226,False
full,1,3713,3713,1.0,1.0,True
head_only,5,3713,33,0.55975,0.3145,False
full,2,137,137,1.0,1.0,True
head_only,4,1089,17,0.74875,0.1402,False
head_only,1,5249,65,1.0,0.9995,True
head_only,2,353,9,0.24325,0.1904,False
head_only,5,2177,129,0.5925,0.0,False
head_only,4,51713,129,0.63275,0.0,False
head_only,1,1601,33,1.0,0.9903,True
full,1,18689,18689,1.0,1.0,True
head_only,5,51713,129,0.52775,0.0,False
head_only,4,2177,129,0.5045,0.0,False
full,3,1089,1089,1.0,1.0,True
head_only,5,1601,33,0.49925,0.0,False
head_only,3,273,17,0.63375,0.0599,False
full,4,545,545,1.0,1.0,True
full,4,137,137,1.0,0.0804,True
head_only,5,2177,129,1.0,0.0,True
full,3,1089,1089,1.0,1.0,True
head_only,1,18689,129,1.0,1.0,True
full,3,1089,1089,1.0,1.0,True
head_only,5,51713,129,0.567,0.0,False
head_only,1,13569,65,1.0,1.0,True
full,1,545,545,1.0,1.0,True
head_only,3,51713,129,1.0,0.1015,True
head_only,3,1089,17,0.5,0.1759,False
full,3,137,137,1.0,1.0,True
full,2,353,353,1.0,1.0,True
head_only,4,137,9,0.68725,0.1753,False
full,5,51713,51713,1.0,1.0,True
head_only,4,3713,33,0.62625,0.2602,False
head_only,1,2177,129,1.0,1.0,True
head_only,5,51713,129,0.77775,0.0939,False
head_only,2,18689,129,1.0,0.0,True
head_only,3,3713,33,1.0,0.0,True
head_only,1,1089,17,1.0,0.5255,True
full,4,1089,1089,1.0,1.0,True
head_only,2,13569,65,1.0,0.3222,True
full,4,5249,5249,1.0,1.0,True
subspace,2,51713,64,1.0,0.0923,True
full,1,13569,13569,1.0,1.0,True
full,5,1601,1601,1.0,1.0,True
head_only,4,137,9,0.501,0.1819,False
full,1,137,137,1.0,1.0,True
full,2,13569,13569,1.0,1.0,True
head_only,4,3713,33,0.49325,0.263,False
subspace,4,51713,1024,1.0,0.9925,True
head_only,3,51713,129,0.878,0.0,False
head_only,4,545,33,0.48425,0.0,False
head_only,2,137,9,0.7495,0.2084,False
head_only,1,209,9,1.0,0.5738,True
full,4,51713,51713,1.0,1.0,True
head_only,5,5249,65,0.9025,0.0066,False
full,1,51713,51713,1.0,1.0,True
head_only,3,1089,65,0.74975,0.0,False
full,3,18689,18689,1.0,1.0,True
head_only,2,51713,129,1.0,0.2892,True
head_only,1,2177,129,1.0,1.0,True
full,2,1089,1089,1.0,1.0,True
head_only,2,545,17,1.0,0.1087,True
head_only,2,273,17,1.0,0.1502,True
head_only,4,545,33,0.88325,0.0128,False
full,4,545,545,1.0,1.0,True
full,4,353,353,0.939,1.0,False
head_only,3,18689,129,1.0,0.0,True
head_only,1,18689,129,1.0,0.9983,True
full,3,3713,3713,1.0,1.0,True
head_only,5,13569,65,0.68725,0.2153,False
head_only,2,1089,65,1.0,0.3156,True
head_only,3,1089,17,0.88075,0.004,False
head_only,1,13569,65,1.0,1.0,True
head_only,4,1089,17,0.4465,0.0442,False
head_only,3,137,9,0.61575,0.2261,False
head_only,1,353,9,1.0,0.5124,True
head_only,4,1601,33,0.431,0.0125,False
head_only,5,2177,129,1.0,0.0,True
full,4,5249,5249,1.0,1.0,True
head_only,5,353,9,0.48175,0.2726,False
full,1,5249,5249,1.0,1.0,True
full,3,1089,1089,1.0,1.0,True
head_only,5,51713,129,1.0,0.0,True
head_only,5,13569,65,0.57375,0.0,False
full,1,545,545,1.0,1.0,True
full,4,353,353,1.0,0.4453,True
full,4,5249,5249,1.0,1.0,True
full,1,1601,1601,1.0,1.0,True
head_only,5,1089,17,0.5315,0.0938,False
head_only,5,545,33,0.50325,0.0,False
head_only,1,5249,65,1.0,0.949,True
head_only,3,353,9,0.62825,0.385,False
head_only,2,51713,129,1.0,0.0,True
full,1,13569,13569,1.0,1.0,True
full,5,13569,13569,1.0,1.0,True
head_only,5,209,9,0.5665,0.4063,False
full,3,545,545,1.0,1.0,True
full,4,545,545,1.0,1.0,True
head_only,5,5249,65,0.5275,0.0,False
full,5,2177,2177,1.0,1.0,True
full,4,545,545,1.0,1.0,True
full,2,137,137,1.0,1.0,True
head_only,5,1601,33,0.52875,0.0,False
head_only,4,1089,65,0.569,0.0,False
head_only,4,1089,65,0.5575,0.0,False
full,5,545,545,1.0,1.0,True
head_only,4,137,9,0.5735,0.0924,False
head_only,3,3713,33,0.8795,0.0132,False
full,5,5249,5249,1.0,1.0,True
full,3,545,545,1.0,1.0,True
head_only,3,545,17,0.75025,0.0085,False
head_only,4,18689,129,0.62275,0.0,False
full,5,545,545,1.0,1.0,True
subspace,1,51713,1024,1.0,1.0,True
full,3,2177,2177,1.0,1.0,True
head_only,3,2177,129,1.0,0.0,True
head_only,1,545,33,1.0,0.9586,True
head_only,1,209,9,1.0,0.8167,True
full,1,545,545,1.0,1.0,True
full,2,2177,2177,1.0,1.0,True
head_only,1,2177,129,1.0,1.0,True
head_only,5,545,33,0.528,0.0,False
subspace,5,51713,1024,1.0,0.0004,True
subspace,2,51713,64,1.0,0.0261,True
head_only,4,1089,65,0.5575,0.0,False
full,2,18689,18689,1.0,1.0,True
full,3,1089,1089,1.0,1.0,True
full,1,545,545,1.0,1.0,True
head_only,2,51713,129,1.0,0.0,True
head_only,4,1089,17,0.67325,0.2293,False
head_only,1,5249,65,1.0,0.9995,True
head_only,4,2177,129,1.0,0.0,True
head_only,5,1601,33,0.578,0.0,False
head_only,2,1601,33,1.0,0.0,True
head_only,5,353,9,0.5075,0.3,False
full,2,13569,13569,1.0,1.0,True
head_only,3,353,9,0.51025,0.3003,False
head_only,4,353,9,0.4435,0.3001,False
full,4,1089,1089,1.0,1.0,True
full,2,3713,3713,1.0,1.0,True
head_only,1,353,9,1.0,0.477,True
full,5,353,353,1.0,1.0,True
head_only,1,2177,129,1.0,1.0,True
head_only,1,137,9,1.0,0.5527,True
head_only,3,137,9,0.63675,0.1666,False
full,3,545,545,1.0,1.0,True
head_only,5,51713,129,0.527,0.0,False
full,5,18689,18689,1.0,1.0,True
head_only,3,2177,129,1.0,0.0,True
full,4,18689,18689,1.0,1.0,True
full,5,5249,5249,1.0,1.0,True
full,2,1089,1089,1.0,1.0,True
head_only,1,353,9,0.5,0.4805,False
full,2,13569,13569,1.0,1.0,True
head_only,2,1089,65,1.0,0.2251,True
full,2,2177,2177,1.0,1.0,True
full,2,5249,5249,1.0,1.0,True
subspace,5,51713,1024,1.0,0.0,True
full,3,137,137,1.0,1.0,True
full,4,273,273,1.0,1.0,True
head_only,4,545,17,0.69275,0.2471,False
full,2,545,545,1.0,1.0,True
head_only,2,545,17,1.0,0.2427,True
head_only,1,209,9,1.0,0.5376,True
head_only,3,353,9,0.502,0.1982,False
head_only,5,545,33,0.429,0.0023,False
full,1,2177,2177,1.0,1.0,True
head_only,1,273,17,1.0,0.8707,True
full,3,18689,18689,1.0,1.0,True
head_only,5,5249,65,1.0,0.0001,True
full,3,353,353,1.0,1.0,True
head_only,3,545,17,0.87275,0.1173,False
full,3,209,209,1.0,1.0,True
full,5,545,545,1.0,1.0,True
head_only,4,1601,33,0.49675,0.0037,False
full,1,5249,5249,1.0,1.0,True
head_only,3,1089,65,1.0,0.0,True
full,3,18689,18689,1.0,1.0,True
head_only,3,545,17,0.62175,0.0164,False
head_only,3,3713,33,0.63725,0.0001,False
full,1,13569,13569,1.0,1.0,True
head_only,1,18689,129,1.0,1.0,True
full,4,137,137,1.0,1.0,True
head_only,5,273,17,0.51375,0.1018,False
full,4,51713,51713,1.0,1.0,True
head_only,3,1089,17,0.756,0.3946,False
full,1,1601,1601,1.0,1.0,True
head_only,3,1089,17,0.749,0.1889,False
full,1,1089,1089,1.0,1.0,True
head_only,1,5249,65,1.0,1.0,True
full,2,1601,1601,1.0,1.0,True
head_only,5,1089,65,0.5395,0.0,False
full,2,18689,18689,1.0,1.0,True
full,5,545,545,1.0,1.0,True
head_only,3,51713,129,0.511,0.0127,False
full,4,1601,1601,1.0,1.0,True
head_only,1,1601,33,1.0,0.8611,True
full,5,18689,18689,1.0,1.0,True
head_only,3,1601,33,1.0,0.0194,True
head_only,1,18689,129,1.0,0.9942,True
full,1,18689,18689,1.0,1.0,True
full,5,273,273,1.0,0.0,True
head_only,1,209,9,1.0,0.5935,True
full,4,353,353,1.0,1.0,True
full,1,2177,2177,1.0,1.0,True
full,1,3713,3713,1.0,1.0,True
head_only,5,209,9,0.5045,0.2174,False
full,3,1089,1089,1.0,1.0,True
subspace,3,51713,1,0.5,0.5042,False
head_only,2,18689,129,1.0,0.0005,True
head_only,3,2177,129,1.0,0.0,True
head_only,2,545,17,1.0,0.0005,True
head_only,3,273,17,0.878,0.0024,False
head_only,5,1089,17,0.5,0.3549,False
full,3,1089,1089,1.0,1.0,True
full,4,3713,3713,1.0,1.0,True
full,3,2177,2177,1.0,1.0,True
head_only,4,545,17,0.7515,0.0988,False
head_only,2,1601,33,1.0,0.0,True
full,5,18689,18689,1.0,1.0,True
full,3,209,209,1.0,1.0,True
subspace,1,51713,64,1.0,0.9864,True
head_only,2,209,9,0.755,0.397,False
full,4,1089,1089,1.0,1.0,True
head_only,5,18689,129,1.0,0.0,True
head_only,1,209,9,1.0,0.6814,True
full,2,273,273,1.0,1.0,True
full,5,545,545,1.0,1.0,True
full,2,1089,1089,1.0,1.0,True
head_only,2,13569,65,1.0,0.0,True
full,2,13569,13569,1.0,1.0,True
head_only,5,545,17,0.53,0.0989,False
head_only,5,2177,129,0.5645,0.0,False
full,2,1601,1601,1.0,1.0,True
head_only,3,3713,33,1.0,0.0123,True
full,3,18689,18689,1.0,1.0,True
full,2,273,273,1.0,1.0,True
head_only,4,137,9,0.4225,0.1878,False
head_only,1,18689,129,1.0,1.0,True
full,3,545,545,1.0,1.0,True
full,3,273,273,1.0,1.0,True
full,2,2177,2177,1.0,1.0,True
full,1,137,137,1.0,1.0,True
full,1,545,545,1.0,1.0,True
full,2,1601,1601,1.0,1.0,True
head_only,3,5249,65,0.88,0.0,False
head_only,5,13569,65,0.90525,0.001,False
subspace,2,51713,4,0.5,0.494,False
full,3,1601,1601,1.0,1.0,True
full,2,18689,18689,1.0,1.0,True
head_only,1,51713,129,1.0,1.0,True
full,5,545,545,1.0,1.0,True
head_only,1,13569,65,1.0,0.7576,True
full,1,3713,3713,1.0,1.0,True
head_only,4,545,17,0.5555,0.0901,False
full,5,545,545,1.0,1.0,True
full,4,1089,1089,1.0,1.0,True
full,4,18689,18689,1.0,1.0,True
head_only,4,209,9,0.49675,0.0588,False
head_only,3,137,9,0.88,0.3055,False
full,5,3713,3713,1.0,1.0,True
full,5,1089,1089,1.0,1.0,True
full,1,545,545,1.0,1.0,True
head_only,4,273,17,0.562,0.0662,False
full,5,545,545,1.0,1.0,True
head_only,3,545,33,1.0,0.0,True
full,4,2177,2177,1.0,1.0,True
head_only,3,2177,129,1.0,0.0,True
head_only,3,3713,33,0.5,0.2582,False
subspace,4,51713,1024,1.0,0.9636,True
head_only,1,545,17,1.0,0.6985,True
head_only,5,13569,65,0.4935,0.0,False
full,2,2177,2177,1.0,1.0,True
head_only,4,1089,17,0.55875,0.0832,False
head_only,3,273,17,1.0,0.0007,True
subspace,5,51713,1,0.4065,0.5289,False
head_only,1,18689,129,1.0,1.0,True
full,3,545,545,1.0,1.0,True
full,5,545,545,1.0,1.0,True
full,2,2177,2177,1.0,1.0,True
full,2,1089,1089,1.0,1.0,True
full,2,1089,1089,1.0,1.0,True
head_only,3,51713,129,0.50075,0.0161,False
head_only,2,5249,65,1.0,0.1834,True
head_only,2,209,9,1.0,0.2698,True
head_only,3,13569,65,1.0,0.0012,True
full,5,51713,51713,1.0,1.0,True
full,3,273,273,1.0,1.0,True
head_only,2,137,9,1.0,0.2746,True
head_only,2,1089,65,1.0,0.205,True
full,3,353,353,1.0,1.0,True
head_only,3,273,17,0.5,0.0745,False
head_only,4,545,17,0.47775,0.0083,False
head_only,4,137,9,0.69875,0.2481,False
head_only,4,353,9,0.47925,0.1854,False
full,1,1089,1089,1.0,1.0,True
head_only,1,209,9,1.0,0.2497,True
full,3,2177,2177,1.0,1.0,True
full,4,137,137,1.0,1.0,True
full,5,545,545,1.0,1.0,True
full,3,3713,3713,1.0,1.0,True
head_only,4,545,33,1.0,0.0037,True
head_only,1,1089,65,1.0,1.0,True
head_only,3,545,33,0.4985,0.0018,False
full,2,13569,13569,1.0,1.0,True
full,5,2177,2177,1.0,1.0,True
head_only,3,1089,17,0.5,0.3173,False
head_only,1,545,33,1.0,1.0,True
full,5,1089,1089,1.0,1.0,True
subspace,4,51713,16,0.55875,0.1296,False
full,2,3713,3713,1.0,1.0,True
full,2,5249,5249,1.0,1.0,True
head_only,5,209,9,0.46075,0.3013,False
full,4,545,545,1.0,1.0,True
full,3,545,545,1.0,1.0,True
full,3,1089,1089,1.0,1.0,True
full,3,18689,18689,1.0,1.0,True
head_only,2,545,17,1.0,0.2472,True
full,4,1089,1089,1.0,1.0,True
head_only,2,3713,33,1.0,0.0142,True
head_only,1,273,17,1.0,0.9514,True
full,4,1089,1089,1.0,0.7369,True
