inference_status,factor,comparison,cohort,outcome,matched_pairs,estimate,ci_low,ci_high,n_seeds
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,Q_behavior_observed,40,0.975,0.925,1.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,Q_behavior_observed,80,0.975,0.9375,1.0,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,Y_behavior_observed,40,-0.275,-0.325,-0.25,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,Y_behavior_observed,40,-0.325,-0.4,-0.25,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,Y_behavior_observed,80,-0.3,-0.35,-0.2625,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,Q_causal_observed,40,1.0,1.0,1.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,Q_causal_observed,40,0.975,0.925,1.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,Q_causal_observed,80,0.9875,0.9625,1.0,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,Y_causal_observed,40,-0.275,-0.325,-0.25,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,Y_causal_observed,40,-0.325,-0.4,-0.25,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,Y_causal_observed,80,-0.3,-0.35,-0.2625,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,Q_behavior_restricted_step,40,-7890.5,-8097.525,-7482.975,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,Q_behavior_restricted_step,40,-7889.325,-8095.8,-7483.975,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,Q_behavior_restricted_step,80,-7889.9125,-8093.980312500001,-7585.9,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,Y_behavior_restricted_step,40,2362.3,1963.478125,2775.9456250000003,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,Y_behavior_restricted_step,40,2560.375,2160.379375,3004.61,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,Y_behavior_restricted_step,80,2461.3375,2175.6803125,2766.1575000000003,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,Q_causal_restricted_step,40,-8093.175,-8097.525,-8091.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,Q_causal_restricted_step,40,-7889.325,-8095.8,-7485.5599999999995,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,Q_causal_restricted_step,80,-7991.25,-8095.575,-7788.575,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,Y_causal_restricted_step,40,2366.225,1975.591875,2791.65625,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,Y_causal_restricted_step,40,2570.05,2165.9975,3004.7118750000004,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,Y_causal_restricted_step,80,2468.1375,2169.9875,2766.244375,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,time_share_D,40,0.26336517333984377,0.21906864166259765,0.3112897109985352,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,time_share_D,40,0.29019622802734374,0.242591552734375,0.3453460693359375,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,time_share_D,80,0.27678070068359373,0.2422701835632324,0.3126288032531738,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,final_tuple_composite,40,0.25,0.25,0.25,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,final_tuple_composite,40,0.3,0.25,0.375,10
